,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
8169,TGR TECHNICAL CENTER LLC,D," 67,704",D,D
9161,CROP PRODUCTION SERVICES INC,D," 61,000",D,D
1613,NORTHWEST DATA SOLUTIONS LLC,D," 50,000",D,D
2013,DE NOVO IMPORTS INC,D," 35,000",D,D
6421,CACI ENTERPRISE SOLUTIONS IN,D," 100,000",D,D
0169,LAW OFFICES OF STEVE QI & AS,D," 28,080",D,D
2579,ONSITE NEONATAL PC,D," 224,640",D,D
2432,BUMP NETWORKS INC,D," 79,000",D,D
8543,EURAMAX INTERNATIONAL INC,D," 106,600",D,D
4014,ILSC NEW YORK LLC DBA ILSC-N,D," 40,000",D,D
1066,S GOLDMAN ADVISORS LLC,D," 100,000",D,D
6597,POTOWMAC ENGINEERS INC,D," 62,000",D,D
8148,PRACTICE FUSION INC,D," 135,000",D,D
3100,DMS CONSTRUCTION CONS SERVIC,D," 90,000",D,D
6860,EDIFICE LLC,D," 70,000",D,D
1069,ANDOVER PUBLIC SCHS TOWN OF,D," 38,463",D,D
1093,TOWN OF BOURNE DBA BOURNE PU,D," 63,794",D,D
1216,MEDFIELD PUBLIC SCHOOLS,D," 47,303",D,D
1237,TOWN OF NATICK PUBLIC SCHOOL,D," 62,179",D,D
1372,WINTHROP PUBLIC SCHOOLS,D," 46,088",D,D
1386,CITY OF EVERETT DBA EVERETT,D," 64,410",D,D
1404,NEWTON PUBLIC SCHOOLS,D," 100,355",D,D
1412,CITY OF REVERE,D," 64,841",D,D
1413,SALEM PUBLIC SCHOOLS,D," 60,591",D,D
1418,WORCESTER PUBLIC SCHOOLS,D," 77,697",D,D
4304,VOLUNTEERS OF AMERICA OF MA,D," 16,640",D,D
6213,AMHERST PELHAM REGIONAL SCH,D," 42,538",D,D
6429,MASSACHUSETTS PORT AUTHORITY,D," 106,600",D,D
7296,ONESHIELD INC,D," 116,584",D,D
6220,AT CROSS COMPANY,D," 59,000",D,D
8952,BLUE CROSS & BLUE SHIELD OF,D," 63,138",D,D
4070,ATW COMPANIES INC,D," 100,000",D,D
3761,TECHNIC INC,D," 89,440",D,D
0724,TACO INC,D," 175,000",D,D
8811,NORTHWEST COMMUNITY HEALTH C,D," 123,000",D,D
8871,FEDERAL HILL HOUSE ASSOCIATI,D," 42,000",D,D
8896,KENT COUNTY MEMORIAL HOSPITA,D," 178,601",D,D
8923,PROVIDENCE COLLEGE,D," 78,000",D,D
9004,MEMORIAL HOSPITAL OF RHODE I,D," 59,643",D,D
9080,SALVE REGINA UNIV,D," 65,000",D,D
6865,CADENCE SCIENCE INC,D," 83,000",D,D
7426,COATS & CLARK INC,D," 84,048",D,D
0487,THE WINCHENDON SCHOOL,D," 23,067",D,D
3463,NEPTCO INCORPORATED,D," 28,330",D,D
7222,ROGER WILLIAMS UNIV,D," 65,750",D,D
6206,JOHNSON & WALES UNIVERSITY,D," 80,000",D,D
6609,TEKNOR APEX COMPANY,D," 90,000",D,D
2278,COMMUNITY CARE ALLIANCE,D," 190,000",D,D
2747,NEW ENGLAND INSTITUTE OF TEC,D," 80,000",D,D
7408,ADMIRALS BANK,D," 44,000",D,D
0546,BRUIN PLASTICS CO INC,D," 70,000",D,D
8344,AMICA MUTUAL INSURANCE COMPA,D," 93,400",D,D
5836,MORAN TRANSPORTATION INDS IN,D," 43,597",D,D
3793,OCEAN STATE JOBBERS INC,D," 110,000",D,D
9803,UNIV SURGICAL ASSO,D," 210,000",D,D
3318,DICOSTANZO INC AKA G DICOSTA,D," 23,608",D,D
9384,KAHN LITWIN RENZA & CO LTD,D," 60,000",D,D
4381,NORTEK GLOBAL HVAC,D," 85,000",D,D
0118,INDIA HOUSE INC DBA KABOB &,D," 57,200",D,D
4835,ARPIN INTERNATIONAL GROUP IN,D," 38,064",D,D
8159,CREATIVE COMPUTING INC,D," 70,000",D,D
1955,LIGHTHOUSE COMPUTER SERVICES,D," 113,000",D,D
7874,SCHNEIDER ELECTRIC IT AMERIC,D," 92,872",D,D
6912,MEDNET HEALTHCARE SYSTEMS,D," 46,925",D,D
8620,OCEAN STATE EYE CARE INC,D," 103,522",D,D
1360,P R I M A INC DBA P R I M A,D," 140,000",D,D
4891,WILDTREE INC,D," 62,275",D,D
6959,AVTECH SOFTWARE INC,D," 65,000",D,D
1338,NAUTIC PARTNERS LLC,D," 100,000",D,D
4919,YARLAS KAPLAN SANTILLI & MOR,D," 50,066",D,D
7515,FINANCIAL ARCHITECTS PARTNER,D," 80,200",D,D
0619,FAILURE ANALYSIS & PREVENTIO,D," 129,600",D,D
4265,MBD PROPERTIES LLC,D," 60,000",D,D
7210,OPS DESIGN INC DBA OPSDESIGN,D," 54,976",D,D
7914,MEDIABUY USA INC,D," 47,466",D,D
9756,DATACLARITY CORPORATION,D," 126,000",D,D
1936,DALE AND THOMAS POPCORN LLC,D," 50,000",D,D
5630,CIRCUITRONIX LLC,D," 25,000",D,D
6713,ABC LABEL & PACKAGING SUPPLI,D," 27,643",D,D
8068,CLINICAL CARE OPTIONS LLC,D," 102,000",D,D
8718,NETLIMS NJ LLC,D," 86,000",D,D
9329,SMOKY MOUNTAIN EMERGENCY SVC,D," 288,000",D,D
0914,SPECIALTY PHYSICIANS OF ILLI,D," 135,000",D,D
0094,MARCHING TECHNOLOGY LLC AN F,D," 44,637",D,D
3112,APEX LOGISTICS INTL INC,D," 83,533",D,D
4081,TRADELINK SECURITIES LLC,D," 65,000",D,D
5023,DOCHANTSCHI INC D/B/A STUDIO,D," 62,546",D,D
5389,TESSOLVEDTS INC,D," 105,649",D,D
9989,RAND GR SOLNS LLC DBA THE RA,D," 73,000",D,D
1266,SUSTAINABLE GROWTH ADVISERS,D," 55,000",D,D
8823,SANTA BARBARA AIRLINES S A,D," 48,000",D,D
3169,BOSTWICK LABORATORIES INC,D," 101,786",D,D
5597,RAJU & GADIRAJU INC D/B/A MO,D," 104,083",D,D
1831,MEDMEME LLC,D," 115,000",D,D
5843,IVY PREPARATORY ACADEMY INC,D," 48,017",D,D
0120,INFOMATRIX INC,D," 72,000",D,D
0018,GERMANTOWN FRIENDS SCHOOL,D," 27,900",D,D
0865,DIGITAL IGNITE LLC,D," 39,600",D,D
3496,LYCEE INTL DE LOS ANGELES,D," 52,530",D,D
8801,COMPREHENSIVE COMMUNITY ACTI,D," 41,714",D,D
8801,COMPREHENSIVE COMMUNITY ACTI,D," 125,000",D,D
7840,BARNES GROUP INC,D," 75,000",D,D
7480,DAY PITNEY LLP,D," 130,000",D,D
7560,THE DAY PUBLISHING COMPANY,D," 37,000",D,D
2220,THE FIELD CLUB OF GREENWICH,D," 43,000",D,D
4680,THE HARTFORD STEAM BOILER IN,D," 94,450",D,D
5750,MACDERMID INCORPORATED,D," 77,250",D,D
3340,PHOENIX LIFE INSURANCE COMPA,D," 128,600",D,D
9470,J PRESS INC,D," 48,000",D,D
0020,S & S WORLDWIDE INC,D," 58,916",D,D
6469,BOZZUTOS INC,D," 78,374",D,D
6742,BEEKLEY CORPORATION,D," 60,000",D,D
6566,CANTERBURY SCHOOL INC,D," 51,830",D,D
6661,THE GUNNERY INCORPORATED,D," 35,500",D,D
6687,KENT SCHOOL,D," 35,300",D,D
6701,QUINNIPIAC UNIVERSITY,D," 92,500",D,D
6704,LAWRENCE & MEMORIAL HOSPITAL,D," 104,416",D,D
6718,MIDDLESEX HOSPITAL,D," 210,000",D,D
6844,SAINT MARY S HOSPITAL,D," 58,525",D,D
6906,SOUTH KENT SCHOOL CORPORATIO,D," 34,092",D,D
6927,TRINITY COLLEGE,D," 68,000",D,D
7016,HARTFORD SEMINARY,D," 90,000",D,D
2113,THE CHESHIRE ACADEMY,D," 53,100",D,D
2124,ENO TRANSPORTATION FDN INC,D," 53,144",D,D
8594,THE VILLAGE FOR FAMILIES & C,D," 185,000",D,D
3142,JARVIS PRODUCTS CORPORATION,D," 75,962",D,D
8001,NESTLE R&D CENTER INC,D," 65,500",D,D
1793,BI-CULTURAL DAY SCHOOL,D," 48,940",D,D
2917,THE WHITBY SCHOOL INC,D," 62,030",D,D
8663,EAST CATHOLIC HIGH SCHOOL,D," 39,200",D,D
2916,BRANSON ULTRASONICS CORPORAT,D," 106,454",D,D
3042,FUELCELL ENERGY INC,D," 110,000",D,D
1669,BNP ASSO INC,D," 87,500",D,D
5252,VALASSIS DIRECT MAIL INC,D," 80,000",D,D
6779,NEELTRAN INC,D," 87,000",D,D
0420,CHOATE ROSEMARY HALL,D," 50,040",D,D
4975,CME ASSOCIATES INC,D," 64,025",D,D
8363,THALES USA INC,D," 95,525",D,D
9659,OUR PIECE OF THE PIE INC,D," 65,000",D,D
8649,H & T WATERBURY INC,D," 80,600",D,D
3094,THE CHAMBERLAIN GROUP INC,D," 122,230",D,D
1174,HAMPSHIRE BRANDS INC,D," 39,500",D,D
6387,TURBOTEC PRODUCTS INC,D," 54,413",D,D
9478,TOWER LABORATORIES LTD,D," 110,000",D,D
4227,WELLSPRING ARCH BRIDGE SCHOO,D," 43,173",D,D
3013,SOUTHWEST COMMUNITY HEALTH C,D," 150,000",D,D
2119,TILCON NEW YORK INC,D," 109,200",D,D
2879,ROTHSTEIN-TAUBER INC,D," 56,500",D,D
3463,EBL LLC DBA EBLENS,D," 135,000",D,D
6715,THE GREATER HUDSON VALLEY FA,D," 175,000",D,D
8335,QUALITY DATA SERVICE INC,D," 78,000",D,D
3422,WHITEHEAD INST FOR BIOMEDICA,D," 51,195",D,D
7341,NATIONAL MAGNETICS GROUP INC,D," 89,440",D,D
9840,BOEHRINGER INGELHEIM VETMEDI,D," 100,000",D,D
0258,MONTOWESE HEALTH & REHAB CTR,D," 72,000",D,D
1062,NOVO NORDISK INC,D," 120,000",D,D
4408,INDEX CORP,D," 85,696",D,D
5148,THE NORINCHUKIN BANK,D," 47,229",D,D
9482,ZILAHY CHIROPRACTIC OFC INC,D, 23,D,D
4424,MEMRY CORPORATION,D," 180,000",D,D
4783,INTL MARKETING STSTEMS LTD,D," 61,901",D,D
0996,GREENWICH ASSOCIATES,D," 97,400",D,D
1957,CANTOR COLBURN LLP,D," 165,000",D,D
7358,MILONE AND MACBROOM INC,D," 46,238",D,D
9491,IMPAX CORPORATION,D," 136,852",D,D
4968,COMPU-DATA LLC,D," 67,746",D,D
6801,DARIEN PHYSICAL THERAPY CENT,D," 76,500",D,D
3992,THE CONNECTICUT KOREAN PRESB,D," 56,178",D,D
5451,DELOITTE CONSULTING LLP,D," 68,500",D,D
9260,THE MORGANTI GROUP INC,D," 52,000",D,D
3720,ALMOST FAMILY INC,D," 82,118",D,D
5211,VISLINK INC,D," 68,557",D,D
4588,CONNING & COMPANY,D," 58,490",D,D
0042,NEW ENGLAND FERTILITY INST L,D," 80,000",D,D
2854,GOLDEN PALACE INC,D," 71,302",D,D
6501,BARNES & NOBLE INC,D," 115,000",D,D
8308,KEMET ELECTRONICS CORPORATIO,D," 95,004",D,D
8568,INTL TECHNOLOGIES & SYSTEMS,D," 60,000",D,D
3599,OCKHAM DEVELOPMENT GROUP,D," 75,000",D,D
5494,CHEM SCOPE INC,D," 27,373",D,D
7855,HENDERSON GLOBAL INVESTORS N,D," 95,000",D,D
8089,LANDAUER INC,D," 113,551",D,D
3851,THE PERT GROUP INC,D," 46,125",D,D
5208,COMMONFUND CAPITAL INC,D," 95,000",D,D
7336,VERTICAL SYSTEMS ANALYSIS,D," 77,000",D,D
9222,KING LOW HEYWOOD THOMAS,D," 75,000",D,D
6302,ADVANCED TECHNOLOGY MATERIAL,D," 77,334",D,D
3703,BROTHER & SISTER INC DBA ALS,D," 52,000",D,D
8287,BRAKE PARTS INC LLC,D," 58,906",D,D
9029,GRAFTECH INTL HOLDINGS INC,D," 83,000",D,D
9524,PRAXAIR SURFACE TECHNOLOGIES,D," 75,000",D,D
1777,COTTAGE GROVE CARDIOLOGY P C,D," 200,000",D,D
3300,ETHAN ALLEN RETAIL INC,D," 47,341",D,D
7099,UNIQUE BEAUTY SUPPLIES INC,D," 61,006",D,D
1754,ACCUTRON INC,D," 61,215",D,D
4828,WITTMANN BATTENFELD INC,D," 95,004",D,D
6752,DEALERTRACK REGISTRATION AND,D," 104,000",D,D
9266,NESPRESSO USA INC,D," 56,000",D,D
6016,EASTERN AIR COURIERS INC,D," 56,160",D,D
6497,SCHUMANN/STEIER INC,D," 86,000",D,D
6552,NEW ENGLAND COMPUTER SERVICE,D," 75,000",D,D
5071,CURTIS GINSBERG ARCHITECTS L,D," 45,000",D,D
5146,FUJIFILM HOLDINGS AMERICA CO,D," 78,000",D,D
7494,PURDUE PHARMA LP,D," 102,720",D,D
0710,5N PLUS WISCONSIN INC,D," 60,000",D,D
1565,TAI SOO KIM PARTNERS LLC,D," 54,590",D,D
2547,E W GEN TRADES INC DBA E W G,D," 65,000",D,D
6452,D&S EXPORTS INC,D," 32,011",D,D
4449,INVEX INC,D," 63,000",D,D
5017,CAPITAL RESTORATION INC,D," 52,000",D,D
5938,ROBERT STORM DBA ROBERT STOR,D," 43,770",D,D
2179,MEERA V MENON DMD LLC,D," 136,000",D,D
1372,CORPORATE TRANSLATIONS INC,D," 45,760",D,D
2455,FAIRFIELD TENNIS,D," 46,000",D,D
2081,COMSIM INC,D," 61,000",D,D
3270,SUNGAL CORP,D," 49,670",D,D
3341,COPERNICUS THE MARKETING INV,D," 60,000",D,D
9373,MARS & CO CONSULTING LLC,D," 125,000",D,D
4740,SCHIPPER & CO USA INC DBA CO,D," 42,682",D,D
8124,CONNECTICUT BEHAVIORAL HEALT,D," 48,300",D,D
8455,SOURCE CAPITAL GROUP INC,D," 65,000",D,D
6620,FLAG CAPITAL MANAGEMENT LLC,D," 47,500",D,D
5390,NOVARTIS CONSUMER HEALTH INC,D," 68,000",D,D
1159,JOHN A FARENS M D P C,D," 160,000",D,D
5725,NORWALK COMMUNITY COLLEGE,D," 49,211",D,D
8073,FABRIQUE LTD,D," 65,000",D,D
9625,OAKLEAF WASTE-MANAGEMENT LLC,D," 90,000",D,D
2101,INSTRUMENT MANUFACTURING COM,D," 71,100",D,D
4045,AMAZING CRUISES AND TRAVEL I,D," 63,000",D,D
4512,SIX FINANCIAL INFORMATION US,D," 78,000",D,D
6718,EAST COAST ASSISTANCE DOGS I,D," 39,310",D,D
9577,IRIDIAN ASSET MANAGEMENT LLC,D," 225,000",D,D
9946,ECM MARITIME SERVICES LLC,D," 230,000",D,D
3863,SPECIALIZED TECH RESOURCES I,D," 96,627",D,D
9146,REPUBLIC AIRWAYS HOLDINGS IN,D," 77,000",D,D
2020,UBS REALTY INVESTORS LLC,D," 110,000",D,D
4213,DELOITTE CONSULTING LLP,D," 75,000",D,D
4413,DELOITTE CONSULTING LLP,D," 80,000",D,D
4517,DELOITTE & TOUCHE LLP,D," 47,861",D,D
4541,DELOITTE CONSULTING LLP,D," 148,100",D,D
5911,TRI-COM CONSULTING GROUP,D," 93,000",D,D
0924,TOTAL TENNIS SAUGERTIES NY L,D," 89,300",D,D
1548,DIETZE & ASSOCIATES LLC,D," 56,658",D,D
1666,EXPRO METERS INC,D," 83,226",D,D
3147,GRIFFIN FACULTY PRACTICE PLA,D," 241,000",D,D
5563,INTENSUS ENGINEERING INC LLC,D," 64,480",D,D
7801,VISUAL PERCEPTIONS LLC,D," 133,702",D,D
7923,TRUVEN HEALTH ANALYTICS INC,D," 112,200",D,D
3851,SECTRA NORTH AMERICA INC,D," 83,000",D,D
5107,DERMATOLOGY FOUNDATION OF RI,D," 120,000",D,D
7414,CONNECTICUT MENTAL HEALTH SP,D," 126,000",D,D
2503,UNIV MEDICAL GROUP INC,D," 190,000",D,D
4476,LONE PINE CAPITAL LLC,D," 100,000",D,D
4548,WOODLAND POWER PRODUCTS INC,D," 61,989",D,D
5324,CTR FOR CHILDREN WITH SPECIA,D," 75,000",D,D
5644,QUESTIONMARK CORP,D," 80,000",D,D
6614,ERECTION & WELDING CONTRACTO,D," 50,000",D,D
7604,DDI SYSTEM LLC,D," 56,800",D,D
7853,PORTFOLIO ADVISORS LLC,D," 80,000",D,D
8616,MICROPATENT LLC,D," 150,997",D,D
8198,SUZUKI MUSIC SCHOOL OF WESTP,D," 39,250",D,D
8403,WSS INC,D," 41,964",D,D
4950,EURASIA GROUP LTD,D," 231,800",D,D
6913,YOUNG AT ART LLC,D," 12,480",D,D
8068,CAN CAPITAL INC,D," 78,000",D,D
1597,PREMIER SPECIALTIES INC,D," 61,000",D,D
3218,E4SCIENCES LLC,D," 85,000",D,D
5824,THESTREET.COM INC,D," 70,000",D,D
6353,BROWN & SWEET LLC,D," 62,400",D,D
6937,TECHNOLOGY SOLUTION PARTNERS,D," 71,800",D,D
2313,EVELYN V CASAS MD DBA KIDSCH,D," 151,000",D,D
3844,MARPILLERO POLLAK ARCHITECTS,D," 73,000",D,D
4595,MEDACIST SOLUTIONS GROUP LLC,D," 75,000",D,D
0176,SOA SOFTWARE INC,D," 135,000",D,D
1276,PURIFICATION TECHNOLOGIES IN,D," 66,300",D,D
3601,PARADIGM PROPERTIES LLC,D," 60,000",D,D
2949,PARK SPORTS PHYSICAL THERAPY,D," 70,000",D,D
3700,TRADEWORX INC,D," 160,000",D,D
5413,DELOITTE CONSULTING LLP,D," 84,000",D,D
6061,INTEGREON MANAGED SOLUTIONS,D," 95,000",D,D
6125,KINKISHARYO INTERNATIONAL LL,D," 82,000",D,D
9458,CORPORATE MAILING SERVICES L,D," 30,950",D,D
5224,PETER SOM INC,D," 3,000",D,D
5819,FIBER COMPOSITES LLC DBA FIB,D," 148,100",D,D
8140,MERITDIRECT LLC,D," 50,000",D,D
8415,BIC GRAPHIC USA DIV OF BIC U,D," 97,871",D,D
8665,AMERICAN BIOSCIENCES INC,D," 60,000",D,D
3458,ECBYTES INC,D," 70,000",D,D
5116,KABA IICO CORPORATION,D," 50,000",D,D
5673,MADISON PARK GROUP LLC,D," 95,576",D,D
6998,BCP SECURITIES LLC,D," 109,980",D,D
7093,APELON INC,D," 74,785",D,D
7808,HEYWIRE INC,D," 120,000",D,D
9842,UBS OCONNOR LLC,D," 130,000",D,D
1143,TANGOE INC,D," 99,598",D,D
4293,ABRAMS BISON INVESTMENT LLC,D," 175,000",D,D
6969,SPECIALTY PRINTING LLC,D," 67,000",D,D
8063,HIGHER ONE INC,D," 97,850",D,D
4083,ISF MANAGEMENT LLC,D," 140,000",D,D
9386,NEXGEN SOLUTIONS LLC,D," 45,115",D,D
9911,THE CONNECTICUT SCHOOL OF MU,D," 15,600",D,D
0800,BUS PRODS GR INC DBA BUS RES,D," 68,000",D,D
1613,MACROGENICS INC,D," 69,544",D,D
3514,EVOLUTION1 INC,D," 82,000",D,D
4851,INSTITUTE FOR NEURODEGENERAT,D," 60,000",D,D
9981,COMMUNITY CARE HLTH NETWORK,D," 55,432",D,D
3860,INFUSIONDEV LLC,D," 132,000",D,D
5159,WHAT IF USA LIMITED,D," 125,000",D,D
6766,BAM ARCHITECTURE STUDIO,D," 46,000",D,D
7253,WORLDWIDE LOGISTICS LTD,D," 37,000",D,D
0093,SPORTS LICENSED DIVISION OF,D," 54,413",D,D
3147,VIACODE CONSULTING LLC,D," 106,101",D,D
3357,BRIDGEPORT RADIOLOGICAL ASSO,D," 300,000",D,D
6510,NORWICH PHARMACEUTICALS INC,D," 98,800",D,D
7908,PROCESS AUTOMATION SOLNS - A,D," 47,341",D,D
8260,R4 TECHNOLOGIES LLC,D," 78,500",D,D
8123,GLOBAL ENGRG & MATERIALS INC,D," 91,050",D,D
8877,JD NURSING AND MANAGEMENT IN,D," 111,925",D,D
0090,5 STAR HOLDINGS LLC DBA EVER,D," 45,000",D,D
6719,PHOENIX REALTY MANAGEMENT LL,D," 65,499",D,D
0071,ATTENDS HEALTHCARE INC DBA D,D," 60,000",D,D
1497,CHRISTIANA INST OF ADVANCED,D," 250,000",D,D
2099,ZUPT LLC,D," 150,000",D,D
4445,CONTEMPORARY CONSERVATION LT,D," 72,000",D,D
4713,AIR CRUISERS COMPANY LLC,D," 70,286",D,D
5496,PENNSYLVANIA COLLEGE OF HLTH,D," 53,144",D,D
0578,PROGENRA INC,D," 65,000",D,D
5203,MIDWEST EMERGENCY DEPT SPECI,D," 174,512",D,D
6165,TESSITURA NETWORK INC,D," 136,500",D,D
7465,PRAGER METIS CPAS LLC,D," 55,000",D,D
8922,GRASSHOPPER GROUP LLC,D," 125,000",D,D
9608,SYSONE INC,D," 60,000",D,D
1194,NORTHEAST BEHAVIORAL ASSOCS,D," 45,000",D,D
1347,BARUCH S BLUMBERG INSTITUTE,D," 44,000",D,D
7651,WON & LEE INC DBA UNICORN GR,D," 40,040",D,D
8643,MKG PRODUCTIONS INC,D," 95,000",D,D
3467,SILVIA TENNIS ACADEMY INC,D," 36,504",D,D
6065,DON NYC INC,D," 30,000",D,D
8664,TRIVISION GROUP INC,D," 95,000",D,D
9244,BUREAU VERITAS NORTH AMERICA,D," 105,000",D,D
0603,INDIGO JEWELRY INC,D," 75,000",D,D
2503,XEROX EDUCATION SOLUTIONS LL,D," 79,997",D,D
8112,BCA STRUCTURAL ENGINEERING I,D, 35,D,D
8377,OCEAN TOMO LLC,D," 169,000",D,D
1256,RIVER PARTNERS LLC,D," 53,976",D,D
5145,TRIM CASTLE CORP,D," 38,397",D,D
2072,C ST HLTH ASSO LLC DBA GLENW,D," 94,224",D,D
7317,AVANKIA LLC,D," 72,322",D,D
9037,CHAKRABARTI MGT CONSULTANCY,D," 59,000",D,D
1909,DREAM SCHOOL INC,D," 40,900",D,D
2118,ZEALTECH INC,D," 65,021",D,D
3661,NATIONAL DEFENSE UNIVERSITY,D," 106,050",D,D
4704,PREMIER HEALTH SPECIALISTS I,D," 81,120",D,D
6077,BEST UNDERWEAR LINE INC,D," 45,510",D,D
7983,COMTEK LLC D/B/A INAVANTE LL,D," 67,163",D,D
0764,W END OPS LLC DBA GLENBURNIE,D," 93,059",D,D
6871,ADAPTIVE INTELLIGENT SYSTEMS,D," 54,787",D,D
0545,HAY ADAMS HOLDINGS LLC,D," 46,000",D,D
6590,RADUS TEK SERVICES INC,D," 64,064",D,D
3116,LAWNWOOD CARDIOVASCULAR SURG,D," 600,000",D,D
8232,CYRIL MOORE INC,D," 95,160",D,D
9433,AARON NEUBERT ARCHITECTS INC,D," 35,906",D,D
5732,HCA IT&S FIELD OPERATIONS IN,D," 87,298",D,D
1298,ELYSIAN ENERGY LLC,D," 44,000",D,D
6896,VESALIUS VENTURES MANAGEMENT,D," 80,000",D,D
8759,THE SEED SCHOOL OF MARYLAND,D," 74,630",D,D
0225,ATWOOD MOBILE PRODUCTS LLC,D," 105,786",D,D
1686,TOOHEY LAW GROUP LLC,D," 51,480",D,D
1907,ENVOY GROUP LLC,D," 150,000",D,D
2588,IBIZ GROUP LLC,D," 65,000",D,D
3040,JS PHARMACY,D," 124,800",D,D
1865,BRIDGEPORT BOARD OF EDUCATIO,D," 53,196",D,D
1893,MERIDEN BOARD OF EDUCATION,D," 51,742",D,D
1635,UNIVERSITY OF CONNECTICUT HI,D," 65,000",D,D
5942,CONNECTICUT MUNICIPAL ELECTR,D," 55,557",D,D
8771,MOTIF INVESTING INC,D," 125,000",D,D
4513,DELOITTE CONSULTING LLP,D," 78,000",D,D
1281,JOBTARGET LLC,D," 96,000",D,D
2339,GARLOCK SEALING TECHNOLOGIES,D," 84,240",D,D
5704,PRAEDICAT INC,D," 102,500",D,D
9780,TOBINWORLD,D," 55,000",D,D
0940,VALLEY CARE CLINICS,D," 625,000",D,D
8700,CULLEN AND DYKMAN LLP,D," 95,000",D,D
1510,COOPER WIRING DEVICES,D," 72,000",D,D
2244,MED MGT INTL INC DBA BANFIEL,D," 85,800",D,D
0400,CHARLES ROSS & SON COMPANY,D," 68,000",D,D
5670,SUPERIOR UNIFORM GROUP INC,D," 53,560",D,D
5499,INDEPENDENT CHEMICAL CORPORA,D," 56,000",D,D
4967,MICHAELS ELECTRICAL SUPPLY C,D," 47,798",D,D
8557,UNITED STATES COLD STORAGE I,D," 85,000",D,D
0821,POLY PREP COUNTRY DAY SCHOOL,D," 55,080",D,D
0822,PRATT INSTITUTE,D," 31,200",D,D
0900,NATIONAL RADIO ASTRONOMY OBS,D," 58,000",D,D
1759,KINGSBROOK JEWISH MEDICAL CE,D," 59,479",D,D
1783,GARDEN SCHOOL INC,D," 16,648",D,D
1788,JAMAICA HOSP MED CTR,D," 57,600",D,D
3516,LONG ISLAND UNIV,D," 115,000",D,D
3549,HEARTSHARE HUMAN SVCS OF NY,D," 30,639",D,D
5825,ST JOHNS EPISCOPAL HOSPITAL,D," 73,471",D,D
3439,ST JOSEPH S COLLEGE,D," 60,180",D,D
5819,WIN-HOLT EQUIPMENT CORP,D," 72,020",D,D
3680,THE KNOX SCHOOL,D," 32,000",D,D
3080,ACME SMOKED FISH CORP,D," 47,902",D,D
3677,COMCO PLASTICS INC,D," 33,478",D,D
7182,MOLLOY COLLEGE,D," 64,928",D,D
0515,MERCURY AIR GROUP INC,D," 59,000",D,D
8219,ST NICHOLAS GREEK ORTHODOX C,D," 51,680",D,D
4700,THE MADELAINE CHOCOLATE COMP,D," 55,000",D,D
2841,LUXOTTICA USA LLC,D," 102,150",D,D
8924,GOOD SAMARITAN HOSP MED CTR,D," 69,615",D,D
7801,STERLING & STERLING INC DBA,D," 47,500",D,D
5934,U S DYNAMICS COPORATION,D," 75,004",D,D
0551,HOERBIGER CORP OF AMERICA IN,D," 66,000",D,D
3858,NASSAU HEALTH CARE FOUNDATIO,D," 58,000",D,D
4718,SORKINS RX LTD,D," 40,000",D,D
9068,SHARON ENGINEERING PC,D," 65,000",D,D
0835,A FANTIS PAROCHIAL SCH OF ST,D," 24,900",D,D
0523,ST FRANCIS HOSP,D," 95,472",D,D
2868,TARO PHARMACEUTICALS USA INC,D," 120,000",D,D
3766,BORO SAWMILL & TIMBER CO INC,D," 45,000",D,D
3344,SOCIETE INTERNATIONALE DE TE,D," 92,374",D,D
3541,GRAND BASKET COMPANY INC,D," 42,351",D,D
2477,AVENT INC,D," 98,000",D,D
7107,STANTEC CONSULTING SERVICES,D," 1,180",D,D
1961,LSI COMPUTER SYSTEMS INC,D," 67,500",D,D
8724,GEODIS WILSON USA INC,D," 75,000",D,D
9032,RSM ELECTRON POWER INC,D," 78,423",D,D
0715,HIRSCH INTERNATIONAL CORP,D," 81,411",D,D
8519,PARK SLOPE ANESTHESIA ASSOCI,D," 230,000",D,D
7553,PREMIER BRANDS OF AMERICA IN,D," 102,814",D,D
4118,SHELTERPOINT LIFE INSURANCE,D," 101,670",D,D
6880,KROLL ASSOCIATES INC,D," 65,000",D,D
5641,THE FRIENDS OF CROWN HEIGHTS,D," 30,000",D,D
5327,NUESTROS NINOS DAY CARE CENT,D," 36,198",D,D
3274,HOUSE OF SPICES INDIA INC,D," 90,420",D,D
2689,ISLAND PEER REVIEW ORGANIZAT,D," 67,413",D,D
5057,MONADNOCK CONSTRUCTION INC,D," 70,000",D,D
