,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
,,,,Master's,39
,,,,Professional,87
,,,,Some College,D
3134,SYS SOFT TECHNOLOGIES LLC,199," 87,720",Bachelor's,80
,,,,Master's,119
3200,COLLEGE OF AG & TECH AT MORR,196," 72,020",Bachelor's,D
,,,,Doctorate,123
,,,,Master's,32
,,,,Professional,38
9021,POLULUS GRP,195," 88,863",Bachelor's,99
,,,,Master's,96
4661,INTUIT INC,194," 121,538",Bachelor's,62
,,,,Doctorate,D
,,,,Master's,130
2033,BOWIE STATE UNIVERSITY,193," 71,029",Bachelor's,D
,,,,Doctorate,147
,,,,Master's,28
,,,,Professional,D
3746,ZENSAR TECH INC,193," 81,995",Bachelor's,106
,,,,Master's,87
4773,BIRLASOFT INC,189," 71,209",Bachelor's,95
,,,,High School,D
,,,,Master's,93
0547,NIIT TECHNOLOGIES LIMITED,188," 70,895",Bachelor's,121
,,,,Master's,67
4954,PERSISTANT SYSTEMS INC,188," 86,117",Bachelor's,156
,,,,Master's,32
0511,UNIV OF IL AT CHICAGO,182," 70,432",Bachelor's,D
,,,,Doctorate,110
,,,,Master's,35
,,,,Professional,33
4484,A27 DEVELOPMENT CTR INC D/B/,179," 121,636",Bachelor's,47
,,,,Doctorate,D
,,,,Master's,125
,,,,No Diploma,D
,,,,Professional,D
2643,V SOFT CONSULTING GROUP INC,179," 62,318",Bachelor's,65
,,,,Master's,114
9522,ADOBE SYSTEMS INC,178," 126,836",Bachelor's,63
,,,,Doctorate,D
,,,,Master's,107
