"Approved L1 Petitions  by Employer    Fiscal Year 2015
",,,,,,
"Source: USCIS. Data as of Aug. 15, 2017. Notes:  All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. ""Employer Industry"" is based on the employer NAICS code, not job code. Some employer industry information is missing from our data system and thus left blank. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition. The L-1A nonimmigrant classification refers to intracompany transfers of corporate managers and executives. The L-1B nonimmigrant classification refers to intracompany transfers of employees who possess “specialized knowledge.” The LZ classification refers to “blanket” L petitions and may be used by entities involved in commercial trade or services. While the term “L-1” is used for visa issuance and admission purposes, USCIS uses the “A” and “B” distinctions internally for statistical and other purposes.",,,,,,
EMPLOYER TAX ID (Last 4 Digits),EMPLOYER NAME,EMPLOYER INDUSTRY,TOTAL APPROVED PETITIONS,EMPLOYMENT TYPE,CLASS PREFERENCE,APPROVED PETITIONS BY CLASS PREFERENCE
 , , , ,Continuing,L1B,22
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,35
9951,CISCO SYSTEMS INC,Electronic Computer Manufacturing,63,Continuing,L1A,13
 , , , ,Continuing,L1B,34
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,14
9050,GLAXOSMITHKLINE LLC,Pharmaceutical Preparation Manufacturing,62,Continuing,L1A,48
 , , , ,Continuing,L1B,D
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,D
6545,AMAZON CORPORATE LLC, ,62,Continuing,L1A,25
 , , , ,Continuing,L1B,30
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,D
5249,ORACLE AMERICA INC,Software Publishers,62,Continuing,L1A,D
 , , , ,Continuing,L1B,20
 , , , ,Continuing,LZ,D
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,32
1280,HALLIBURTON ENERGY SERVICES INC,Engineering Services,61,Continuing,L1A,10
 , , , ,Continuing,L1B,26
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,24
8826,GENPACT LLC,Custom Computer Programming Services,60,Continuing,L1A,24
 , , , ,Initial,L1A,31
 , , , ,Initial,L1B,D
4303,LARSEN AND TOUBRO INFOTECH LTD,Custom Computer Programming Services,57,Continuing,L1A,13
 , , , ,Continuing,L1B,21
 , , , ,Continuing,LZ,D
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,15
0621,SHELL US HOSTING COMPANY,OIL ANG GAS EXTRACTION,56,Continuing,L1A,39
 , , , ,Continuing,L1B,15
 , , , ,Initial,L1B,D
5019,WEATHERFORD INTERNATIONAL LLC,Oil and Gas Field Machinery and Equipment Manufacturing,55,Continuing,L1A,24
 , , , ,Continuing,L1B,10
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,15
7473,LEARJET INC,Aircraft Manufacturing,55,Continuing,L1A,D
 , , , ,Continuing,L1B,D
 , , , ,Initial,L1B,40
 , , , ,Initial,LZ,D
6041,SAP AMERICA INC, ,55,Continuing,L1A,D
 , , , ,Continuing,L1B,D
 , , , ,Continuing,LZ,D
 , , , ,Initial,L1A,10
 , , , ,Initial,L1B,33
0210,CHEVRON CORPORATION,Oil and Gas Extraction,54,Continuing,L1A,30
 , , , ,Continuing,L1B,22
 , , , ,Initial,L1B,D
5497,IGATE TECHNOLOGIES INC,Custom Computer Programming Services,53,Continuing,L1A,16
 , , , ,Continuing,L1B,20
 , , , ,Initial,L1A,12
 , , , ,Initial,L1B,D
0648,SAPIENT CORPORATION,Custom Computer Programming Services,51,Continuing,L1A,34
 , , , ,Continuing,L1B,12
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,D
7033,SYNECHRON INC,Custom Computer Programming Services,51,Continuing,L1A,11
 , , , ,Initial,L1A,31
 , , , ,Initial,L1B,D
4631,MICHELIN NORTH AMERICA INC,Rubber Product Manufacturing,49,Continuing,L1A,21
 , , , ,Continuing,L1B,10
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,12
5928,UNILEVER UNITED STATES INC,All Other Miscellaneous Manufacturing,49,Continuing,L1A,29
 , , , ,Continuing,L1B,D
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,12
0009,EMC CORPORATION,Custom Computer Programming Services,48,Continuing,L1A,D
 , , , ,Continuing,L1B,12
 , , , ,Initial,L1A,19
 , , , ,Initial,L1B,D
7280,SIEMENS ENERGY INC,Engineering Services,48,Continuing,L1A,D
 , , , ,Continuing,L1B,18
 , , , ,Initial,L1B,21
9340,GENERAL ELECTRIC COMPANY,Scientific Research and Development Services,46,Continuing,L1A,20
 , , , ,Continuing,LZ,D
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,18
3497,AMERICAN EXPRESS TRAVEL RELATED S,Credit Card Issuing,45,Continuing,L1A,27
 , , , ,Continuing,L1B,D
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,10
2904,ACCENTURE LLP,"Management, Scientific, and Technical Consulting Services",45,Continuing,L1A,36
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,D
7496,CYIENT INC,Computer Systems Design Services,43,Continuing,L1A,D
 , , , ,Continuing,L1B,14
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,26
1374,HEXAWARE TECHNOLOGIES INC,Custom Computer Programming Services,40,Continuing,L1A,22
 , , , ,Continuing,L1B,D
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,D
4739,MAMMOET USA SOUTH INC, ,40,Continuing,L1A,D
 , , , ,Continuing,L1B,28
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,D
9720,MPHASIS CORPORATION,Custom Computer Programming Services,40,Continuing,L1A,12
 , , , ,Continuing,L1B,18
 , , , ,Initial,L1A,D
 , , , ,Initial,L1B,D
3732,GASFRAC INC, ,39,Continuing,L1B,10
 , , , ,Initial,L1B,29
7553,BP AMERICA INC,Crude petroleum and natural gas extraction,39,Continuing,L1A,30
 , , , ,Continuing,L1B,D
 , , , ,Initial,L1A,D
0547,NIIT TECHNOLOGIES LIMITED,Computer Systems Design Services,38,Continuing,L1A,12
 , , , ,Continuing,L1B,16
 , , , ,Continuing,LZ,D
 , , , ,Initial,L1A,D
2131,GLOBALFOUNDRIES US INC,Semiconductor and Related Device Manufacturing,38,Continuing,L1A,D
 , , , ,Continuing,L1B,32
 , , , ,Initial,L1A,D
