"Approved H-2B Cap-Subject Beneficiaries by Employer Fiscal Year 2017


",,,,
"Source: USCIS, data as of October 31, 2017.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. A dash represents zero. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition.",,,,
Employer Tax Number (Last 4 Digits),Employer Name,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under the Cap
8560,RSG LANDSCAPING & LAWN CARE INC,80,-,80
7867,LOVIN CONTRACTING CO INC,80,-,80
7670,AQUA FARMS CRAWFISH INC,80,-,80
9437,PERFECT CUTS OF AUSTIN LLC,80,-,80
6808,TALLEY AMUSEMENTS INC,80,-,80
8672,MOON VALLEY NURSERY INC,80,-,80
4569,GOTHIC GROUNDS MANAGEMENT INC,80,-,80
2166,DIXIE LAWN SERVICE INC,79,-,79
9800,SMITH LABOR MANAGEMENT LLC,79,-,79
4525,WORMAN FOREST MANAGEMENT LLC,78,-,78
9169,MATTAMUSKEET CRAB COMPANY INC,78,-,78
5914,SNOWBIRD OPERATIONS LLC,78,-,78
7343,MONTAGE HOTELS & RESORTS,77,-,77
4456,WELLFLEET HARBOR SEAFOOD INC,77,-,77
6501,NORTH AMERICA MIDWAY ENTERTAINMENT,-,77,77
4223,BRIGHTVIEW LANDSCAPE SVCS INC-STUA,77,-,77
3441,CRYSTAL SEAS SEAFOOD LLC,76,-,76
388,WEQUASSETT INN LLP DBA WEQUASSETT,75,-,75
7077,SPIKE INC DBA OLYMPIA MOVING & STO,75,-,75
9038,JUICYS LLC,75,-,75
6715,CHESNUT FORESTRY SERVICES INC,75,-,75
8686,GALVESTON SHRIMP COMPANY LLC,-,75,75
3318,LINDYS SEAFOOD INC,75,-,75
638,THE METROLINA LANDSCAPE CO INC,75,-,75
1129,GEORGIA PINE STRAW INC,75,-,75
1741,HORIZON LAWN AND LANDSCAPE INC,75,-,75
6691,BELDON ROOFING COMPANY,75,-,75
9988,CHICK LANDSCAPING INC,75,-,75
1056,PRIME LAWN CARE INC DBA PRIME LAND,75,-,75
3528,CRW RESOURCES LLC,75,-,75
5406,CAPE COD RESTAURANTS INC DBA FLYIN,74,-,74
6021,SUE S LANDSCAPING INC,-,74,74
5691,M&R FORESTRY SERVICES INC,-,74,74
7549,PORT ENTERPRISE LTD,-,74,74
9283,SEABOARD FOODS LLC,74,-,74
9663,ROCKY MOUNTAIN CUSTOM LANDSCAPES &,73,-,73
5693,BAY CITY CRAB INC,-,73,73
1686,THOMPSON LANDSCAPE SERVICES INC,72,-,72
6110,THE DAVEY TREE EXPERT COMPANY,71,-,71
7884,WILLIAMS FORESTRY & ASSOCIATES,71,-,71
8097,SELECT HOSPITALITY ACADEMY INC,71,-,71
5927,GENTLE GIANT MOVING CO INC,70,-,70
4122,OAKLEY MOUNTAIN CORP DBA SCRIVANIC,70,-,70
3135,ALS COMPLETE LAWN CARE LLC,70,-,70
3876,TCB QUALITY LANDSCAPING INC,70,-,70
9245,CHAD BROWN RACING STABLES INC,70,-,70
1153,FOCAL POINTE OUTDOOR SOLUTIONS INC,70,-,70
871,GREEN-TEE GOLF INC,70,-,70
5020,YOUTH ELITE SOCCER,70,-,70
3382,HELM & SONS AMUSEMENTS INC,70,-,70
899,VIZMEG LANDSCAPE INC,70,-,70
8733,BECKER LANDSCAPE CONTRACTORS,70,-,70
6507,HERSO SERVICES INC,70,-,70
137,RITE A WAY LAWN CARE LLC,70,-,70
9657,SITE LANDSCAPE DEVELOPMENT LLC,70,-,70
7262,LANDRYS PRO LAWN & LANDSCAPE INC,70,-,70
2069,GREEN TEAMS INC,70,-,70
7740,TCA TERRACARE ASSOCIATES LP,70,-,70
3946,CARETAKER INC,70,-,70
9392,QUALITY CRAB CO INC DBA QUALITY SE,70,-,70
62,MIRASOL CLUB INC DBA THE COUNTRY C,70,-,70
194,ACADIA PROCESSORS LLC,70,-,70
1356,NEMACOLIN RESORT AND SPA,69,-,69
5152,MILBERGER LANDSCAPING INC,69,-,69
8103,ALL PHASE LANDSCAPE CONSTRUCTION I,69,-,69
6006,MYC RESORTS LLC,68,-,68
1217,CATER FARM & PLANTING LLC,68,-,68
8432,EAST WEST RESORTS,68,-,68
5045,DETAILED ENVIRONMENTS INC,67,-,67
9644,ALL REGIONS SERVICES INC,67,-,67
1756,OKEMO LIMITED LIABILITY COMPANY,66,-,66
1124,AEROSCAPE INC DBA AEROSCAPE PROPER,66,-,66
4570,ATCHAFALAYA CRAWFISH PROCESSING LL,65,-,65
9058,TEXAS ECOGROW LLC,65,-,65
5112,CUSTER HOSPITALITY LLC,65,-,65
3011,TEXAS GENERAL BUILDERS LLC,65,-,65
7617,CJR FRAMING INC,-,65,65
399,STRATES SHOWS INC,65,-,65
9172,HALLATON INC,-,65,65
6995,LOUISIANA SUGAR CANE COOPERATIVE I,65,-,65
9400,ROARK LANDSCAPING CORPORATION,65,-,65
5039,PRO MOW LAWN & LANDSCAPE LLC DBA L,65,-,65
586,RIDGEWOOD LANDSCAPING INC,65,-,65
9112,CRABTREE AMUSEMENTS INC,65,-,65
4461,BRIGHTVIEW LANDSCAPE SVCS INC-DALL,65,-,65
1715,PRESTONWOOD LANDSCAPE SERVICES LLC,65,-,65
3258,WESTERN STATES RECLAMATION INC,65,-,65
2454,V & P NURSERIES INC,65,-,65
2988,NORTHERN STONE SUPPLY INC,65,-,65
5719,RAMIREZ REFORESTATION INC,65,-,65
6016,CUTTING EDGE FORESTRY INC,65,-,65
8669,FUTURE HARVEST FORESTRY SVC LLC,64,-,64
3030,EARTH CARE INC,64,-,64
9792,M&N BUILDERS LLC,63,-,63
9381,DIRT ROAD INC DBA CHOATE USA,-,62,62
9952,EMBASSY LAWN LANDSCAPING,62,-,62
7693,UK ELITE SOCCER INC,61,-,61
8510,SUPERSCAPES INC,60,-,60
7494,GILLETTE SHOWS INC,60,-,60
9842,HV LLC DBA CIRCO HERMANOS VAZQUEZ,60,-,60
545,PICKERING VALLEY LANDSCAPE INC,60,-,60
1334,POWER HOUSE PLASTERING,-,60,60
1466,NORTHWOOD HOSPITALITY LLC DBA NAPL,60,-,60
681,ARNOLD AMUSEMENTS INC,60,-,60
6748,COMMUNITY GREEN LANDSCAPE GROUP,60,-,60
9463,SAWTOOTH STONE LLC,60,-,60
4316,SONESTA RESORT HILTON HEAD ISLAND,60,-,60
5125,SDIAMOND CONSTRUCTORS INC,60,-,60
3417,BAYTREE LANDSCAPE CONTRACTORS,60,-,60
285,POOLE LANDSCAPING LLC,60,-,60
8465,SAVE-ON ENTERPRISES OF SARASOTA CO,60,-,60
7848,MASSENGALE GROUNDS MANAGEMENT INC,60,-,60
5490,ROADWAY SPECIALTIES INC,-,60,60
3811,ESPINOZA STONE INC,60,-,60
2141,INTERMOUNTAIN PLANTINGS LLC DBA IP,60,-,60
3303,FALLS FRAMING LLC,60,-,60
9123,BRIGHTVIEW LANDSCAPE DEV INC-CO DE,60,-,60
5654,TIMBERLINELANDSCAPING INC,60,-,60
6983,BLUE MOUNTAIN STONE INC,60,-,60
8970,RING & RING INC DBA WRIGHT S AMUSE,60,-,60
7015,AZ WHOLESALE GROWERS INC,60,-,60
5507,CARESCAPE INC,60,-,60
6290,MASSACHUSETTS PREMIER SOCCER LLC,60,-,60
2540,C & V REFORESTATION INC,60,-,60
5873,WITHAM FAMILY LIMITED PARTNERSHIP,-,59,59
9653,TRIAD ASSOCIATES INC,59,-,59
3057,PACIFIC COAST CONTRACTING INC,-,59,59
429,PH CONSTRUCTION INC,-,59,59
6893,OLCO INC,59,-,59
5708,THE BAYBERRY GRP INC,59,-,59
5486,NEX GEN USLBM LLC DBA TRUSS PROS I,59,-,59
2821,TREES ARE US FORESTRY LLC,59,-,59
9830,HILLSIDE ORCHARD FARMS INC,58,-,58
5498,PORT ENTERPRISE LTD,-,58,58
5554,LUMBER SPECIALTIES US LBM LLC,57,-,57
9779,EPIC LANDSCAPE PRODUCTIONS LLC,57,-,57
2472,PACIFIC LANDSCAPE MANAGEMENT INC,57,-,57
9646,ALVAREZ ENVIRONMENTAL LLC,14,42,56
1422,SUMMERHILL LANDSCAPES INC,56,-,56
7543,R&R 1818 LANDSCAPE LP DBA TERRA MA,56,-,56
5395,RAMADA PLAZA BEACH RESORT,56,-,56
906,ENERGY PANEL STRUCTURES INC,56,-,56
2596,D&W REGENERATION INC,56,-,56
5360,THE POLO CLUB OF BOCA RATON INC,56,-,56
2529,TROON GOLF LLC AT BALLENISLES COUN,55,-,55
6733,SMOKEYS GREATER SHOWS INC,55,-,55
7486,RIVERSIDE PK ENTERPRISES/DBA/6 FLA,55,-,55
8962,TANTO IRRIGATION LLC,55,-,55
7969,TEXAS BUILDING SYSTEMS INC,55,-,55
405,ARROWHEAD LANDSCAPE SVCS INC,55,-,55
274,D J S LANDSCAPE MANAGEMENT INC,55,-,55
1621,CRESCENT HOTELS & RESORTS DBA HORS,55,-,55
9358,RESORT EMPLOYEE STAFFING FOR BREAK,55,-,55
4705,SUPERIOR LANDSCAPE & MAINTENANCE S,55,-,55
2695,EDS PLANT WORLD INC,55,-,55
4787,SMITH GROUNDS MANAGEMENT LLC,55,-,55
1449,WIEBER STEEL CONSTRUCTION LLC,55,-,55
9707,FL CRANE & SONS INC,55,-,55
132,PROCESSORS INC,55,-,55
3591,PRAIRIE VIEW LANDSCAPING & NURSERY,55,-,55
9093,SHOOTER AND LINDSEY INC,55,-,55
5092,PT LANDSCAPE LLC DBA PEACH TREE LA,55,-,55
7747,NATIVE RESOURCES INTL INC,55,-,55
266,KIMBALL PROPERTY MAINTENANCE INC,55,-,55
3860,MCHENRY FORESTRY,55,-,55
4344,KIAWAH ISLAND INN CO DBA KIAWAH IS,-,54,54
9212,TEXAS FIFTH WALL ROOFING SYSS INC,-,54,54
4254,QUICKSILVER CONTRACTING CO,-,54,54
7617,GSI POOL FINISHES INC,53,-,53
5620,ROCCO FIORE & SONS INC,53,-,53
9376,SHENANDOAH LANDSCAPE SERVICE INC,53,-,53
2956,FULL CARE INC,52,-,52
5258,BAYOU LAND SEAFOOD LLC,34,18,52
266,TIMBERLAND FORESTRY SERVICE,52,-,52
6262,NANTUCKET ISLAND MGT LLC DBA NANTU,51,-,51
1366,MOBILE ICE CREAM RVA,51,-,51
919,KELLY MIDWEST VENTURES DBA KELLY I,46,D,H
6454,TERRACARE ASSO LLC,51,-,51
5302,ELMER CANDY CORPORATION,-,51,51
6052,MULCH MANUFACTURING INC,51,-,51
9081,NASWA MOTOR INN D/B/A NASWA RESORT,50,-,50
2241,JUMPN GS ICE CREAM INC,50,-,50
9964,WARRENS NURSERY INC,50,-,50
776,THE LANDSCAPE PARTNERS LTD,50,-,50
2984,D & K CONSTRUCTION LLC,50,-,50
5983,CREATIVEXTERIORS,50,-,50
788,LMS LONESTAR STONE & MASONRY INC,-,50,50
6569,N BEACH PLANTATION MGT LLC DBA N B,50,-,50
545,SHEARON ENVIRONMENTAL DESIGN OF NJ,50,-,50
3797,UTZ ENVIRONMENTAL SVCS OF AUSTIN I,50,-,50
7205,RDR FLOORING SVCS LLC DBA TEXAS TI,50,-,50
221,THE NATURE GRP INC DBA NATURE S PA,50,-,50
5569,COOPER ROOFING & SOLAR LLC,-,50,50
9825,FOCUS FRAMING DOOR & TRIM LLC,-,50,50
7976,VIVONA FAMILY ENTERTAINMENT CO INC,50,-,50
8430,PFL INDS LLC DBA PERFECT FINISH LA,50,-,50
1560,PEABODY LANDSCAPE CONSTRUCTION INC,-,50,50
9248,G T SVCS INC DBA GREEN TOUCH SVCS,50,-,50
4307,NU TEC ROOFING CONTRACTORS LLC,50,-,50
7082,BENNY & SONS PINE STRAW LLC,50,-,50
6546,SWYEAR AMUSEMENTS INC,50,-,50
5552,KEHRER BROTHERS CONSTRUCTION INC,50,-,50
2867,BLUEGRASS LAWNCARE OF ST LOUIS LLC,50,-,50
9285,THOMAS CARNIVAL INC,50,-,50
4177,RUSSELL HALL SEAFOOD INC,50,-,50
8555,SOUTH GEORGIA PINESTRAW INC,50,-,50
3168,SWARTZ MOWING INC,50,-,50
6353,MERKLE LAWN CARE COMPANY INC,-,50,50
8988,ENVIRO-SCAPES LLC,50,-,50
8335,MILLER SPECTACULAR SHOWS INC,50,-,50
8230,TOTAL ENVIRONMENT INC,50,-,50
7169,MEZGER ENTERPRISES LTD,50,-,50
896,THE GRASS PATCH INC,50,-,50
8284,DEAN CONTRACTING COMPANY INC,50,-,50
9639,H R MARC CO INC,50,-,50
105,CHERRY PAINTING COMPANY INC,-,50,50
3077,SOUTHERN BOTANICAL INC,50,-,50
2942,THOUSAND OAKS LANDSCAPE INC,50,-,50
9972,JBS PACKING COMPANY INC,-,50,50
7146,PARADISE AMUSEMENTS INC,50,-,50
1521,GALLEGOS MASONRY INC DENVER DBA TH,30,20,50
5036,GREAT WESTERN LANDSCAPE INC,50,-,50
1064,PARKSIDE LANDSCAPING INC A,50,-,50
9487,ADELMAN CONCRETE & EXCAVATING INC,50,-,50
235,3 G CONSTRUCTION CO LLC,-,50,50
1641,PARK MGMT CORP /DBA/SIX FLAGS DISC,-,50,50
9012,BELTERRA RESORT INDIANA LLC D/B/A,-,50,50
4365,FRENCHMANS CREEK INC DBA FRENCHMAN,50,-,50
9161,HIDDEN CREEK CONTRACTOR INC,49,-,49
4866,SOUTHVIEW DESIGN INC,49,-,49
7534,PARADISE AMUSEMENTS INC,49,-,49
5753,BRIGHTVIEW LANDSCAPE SVCS INC-LAS,49,-,49
6350,WINE ISLAND LLC,49,-,49
1930,A OF R SERVICES INC,-,48,48
2068,GURNEYS INN RESORT AND SPA LTD,48,-,48
129,CIFARELLIS CRYSTAL CLEAR CLEANING,48,-,48
7607,LANDSCAPE DETAILS INC,48,-,48
5680,PENN OUTDOOR SERVICES LLC,48,-,48
8802,WICKMAN GARDEN VILLAGE,48,-,48
6763,SOUTHERN SPECIALTY CONTRACTORS,48,-,48
2715,SPOSATO LANDSCAPE CO INC,48,-,48
2034,MENDIOLA FORESTRY SERVICES LLC,48,-,48
3695,CREATIVE IMAGE BMP LLC DBA CREATIV,48,-,48
952,HADCO CONSTRUCTION LLC,47,-,47
2275,GROUNDSPRO LLC,47,-,47
8236,ANGELOS LAWN-SCAPE OF LOUISIANA IN,47,-,47
3779,CLAMBAKE INC DBA LOBSTER POT RESTA,46,-,46
4869,O HARA LANDSCAPE LAWN CARE INC,46,-,46
2178,THE GREENWOOD GRP LLC,46,-,46
1023,HORIZON FORESTRY LLC,46,-,46
3671,EJ AMUSEMENTS OF NH INC,45,-,45
4696,J AND Y CONSTRUCTION INC,45,-,45
693,AMERISTAR CASINO BLACK HAWK INC D/,-,45,45
2099,FURTMANN BROS LLC,-,45,45
1187,D&C PRIDE OF TEXAS SHOWS INC,45,-,45
5729,REYNOLDS LANDSCAPING,45,-,45
1377,BEST HORTICULTURAL SERVICES INC,45,-,45
2646,DISTEFANO LANDSCAPE SERVICES INC,45,-,45
2472,BROGAN LANDSCAPING INC,45,-,45
6984,FORESTREE NETWORK SERVICES LLC,45,-,45
461,LIVE GREEN LANDSCAPE ASSOCS LLC,45,-,45
