"Approved H-2B Cap-Subject Beneficiaries by Employer Fiscal Year 2017


",,,,
"Source: USCIS, data as of October 31, 2017.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. A dash represents zero. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition.",,,,
Employer Tax Number (Last 4 Digits),Employer Name,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under the Cap
988,PRIMETIME AMUSEMENTS LLC,25,-,25
2648,POWERS & THOMAS MIDWAY ENTERTAINME,25,-,25
8839,PALMETTO STATE FORESTRY SERVICES,-,25,25
749,OTTAWAY AMUSEMENT CO INC,25,-,25
8058,CAPITOL CITY AMUSEMENT INC DBA CA,-,25,25
28,FARMINGTON COUNTRY CLUB,25,-,25
4485,COLE SHOWS AMUSEMENT COMPANY INC,25,-,25
9979,STYRON CRAB CO INC,-,25,25
9556,CRABAPPLE INC DBA CRABAPPLE TURF M,25,-,25
8182,FAMILY ATTRACTIONS AMUSEMENTS LLC,25,-,25
3083,TOTAL LANDSCAPE MGT INC DBA A CUT,25,-,25
2300,PEACHTREE RIDES INC DBA PEACHTREE,25,-,25
6343,UNLIMITED LANDSCAPING & TURF MGT I,25,-,25
5170,GULF COAST ENVIRONMENTAL CONTRACTO,25,-,25
934,FOX ENTERPRISES INC,25,-,25
1980,SOUTHLAND LANDSCAPING INC,-,25,25
2158,PLANTSCAPE INC DBA US LAWNS OF JAC,25,-,25
6114,RANDOL INC,25,-,25
8864,HORNSBY LANDSCAPING UNLIMITED INC,25,-,25
1696,BRIT-TEX PLASTERING,25,-,25
4719,SCHULTZ & CO LANDSCAPES LLC,25,-,25
3759,A&M TILE AND PLASTERING LTD,25,-,25
5160,BAHENA CONSTRUCTION COMPANY INC,-,25,25
8072,ROBERT CORY DBA HEART OF AMERICA S,25,-,25
3036,PRODUCTION FRAMING INC,25,-,25
4473,FT LAUDERDALE HOSPITALITY MGT,25,-,25
1409,GASPERSON ENTERPRISES INC,25,-,25
1772,ROBERTSON LAWN SPRINKLER CO DBA RO,25,-,25
1223,G H DANIELS III & ASSO INC,25,-,25
4241,PHASE ONE LANDSCAPES INC,25,-,25
1193,O & A STONE LLC,25,-,25
6388,FAIRMONT SCOTTSDALE PRINCESS,25,-,25
1619,LAHONTAN GOLF CLUB,25,-,25
4933,HERDER PLUMBING INC,25,-,25
9859,LANDSCAPE MANAGEMENT SERVICE INC,-,25,25
2608,ESTATE LANDSCAPE & IRRIGATION INC,25,-,25
5507,TRUCO ENTERPRISES INC,-,25,25
6662,THE WESTIN CROWN PLAZA HOTEL DBA T,25,-,25
3338,SUNRISE REFORESTATION INC,25,-,25
7950,SHANES OF SHREVEPORT INC,25,-,25
4467,ISLAND LANDSCAPES LLC DBA YARDWORK,25,-,25
1593,SHARP FORESTRY INC,25,-,25
3150,TURKISH SOCIETY OF ROCHESTER,25,-,25
2645,ALFONSO GALLEGOS INC,25,-,25
7103,HST KIERLAND LLC DBA THE WESTIN KI,25,-,25
285,MCINNIS CONSTRUCTION LLC,25,-,25
2950,DALLAS LIMESTONE LLC,25,-,25
403,AULICK LEASING CORP,25,-,25
6170,PAUL BUNYAN S FIREWOOD INC,25,-,25
5722,CAPT PHIPS SEAFOOD CO INC,25,-,25
8852,ISLAND SEAFOOD CO INC,25,-,25
7885,SHELL POINT SHELLFISH,25,-,25
8563,VICKYS OYSTERS LLC,25,-,25
6966,THREE FORKS RANCH CORP,12,12,24
9794,BLUE STAR AMUSEMENTS LLC DBA CAMPY,24,-,24
1967,J TORTORELLA SWIMMING POOL SVC & M,24,-,24
2944,SEA JOKER INC,-,24,24
2410,ULTIMATE PRO GROUNDS MGT INC,24,-,24
1704,EXSCAPE DESIGNS LLC,24,-,24
7588,KT IRRIGATION LLC,24,-,24
7386,THE GARDEN GREENHOUSE & NURSERY IN,24,-,24
1752,ASHLEYS SOCCER CAMP INC DBA SPORTS,-,24,24
7237,GUNITE SPECIALISTS INC,24,-,24
740,MAINE PREMIER SOCCER LLC DBA GPS M,24,-,24
5754,JBA LAND MANAGEMENT,24,-,24
653,THE OCEAN HOUSE & THE WEEKAPAUG IN,-,24,24
5316,THE ADIRONDACK GROUP LLC,24,-,24
5069,HIDDEN CREEK LANDSCAPING INC,24,-,24
9471,LEWIS LANDSCAPING & NURSERY INC,24,-,24
2571,WOLFSCAPE INC,24,-,24
9039,BUDGET LUXURY INN OF TRAVERSE CITY,24,-,24
2969,POOL BUTLER PARTNERS DBA LAWN BUTL,24,-,24
6356,TOFTE MGMT CO LLC DBA BLUEFIN BAY,24,-,24
3553,ELITE LAWN SVCS INC,24,-,24
4157,PETE CHAVEZ CONCRETE DBA YES INDEE,24,-,24
2788,MS LANDSCAPING LLC,24,-,24
4390,WEATHERCRAFT CO FOR NORTH PLATTE,-,24,24
7017,COMMONWEALTH EVENT COMPANY,24,-,24
6834,PCH HOTELS & RESORTS INC DBA GRAND,24,-,24
2054,VIXCON CO LLC,-,24,24
7979,VILLEGAS ENTERPRISES INC,24,-,24
7437,HENKEL DENMARK INC,24,-,24
566,AQUASAFE POOL MANAGEMENT INC,24,-,24
3230,VIKING FENCE,-,24,24
3704,PITTS CONSTRUCTION INC,24,-,24
5899,WILTSHIRE BROTHERS INC DBA PERFECT,24,-,24
7208,COBURN AND COMPANY,-,24,24
3913,D 7 ROOFING LLC,-,24,24
3928,ABEL SANCHEZ FORESTRY SERVICE,24,-,24
2988,SIMPSON LANDSCAPE MAINTENANCE INC,24,-,24
6412,DYNA-MIST IRRIGATION CO DBA DYNA-M,24,-,24
6095,UNDERWOOD BROTHERS INC DBA AAA LAN,24,-,24
3226,BEAN DRYWALL INC,-,24,24
2210,JUPITER ISLAND HOLDINGS INC,24,-,24
7099,BOTANICA GARDENS INC,-,23,23
782,BENSON ENTERPRISES OF NEW YORK INC,23,-,23
630,STEEL CITY LANDSCAPE INC DBA STEEL,23,-,23
9976,RAPID PALLET INC,-,23,23
5995,TOBY WOODS TREE PLANTING SERVICE,23,-,23
9606,TULSA LOT SWEEPING INC,23,-,23
1912,PISCATAQUA LANDSCAPING & TREE SVC,23,-,23
3521,WINNSCAPES INC,23,-,23
297,CHIPPEWA HOTEL CO INC,-,23,23
8572,TDH & ASSO INC DBA BEST WESTERN HA,23,-,23
8902,C & G TURF MGT LLC DBA COLOR BURST,23,-,23
6383,TENNANT LAWN SERVICE INC,-,23,23
3851,AJ BRAUER STONE INC,23,-,23
8224,PGC LANDSCAPE LLC,23,-,23
4450,WESTGROUP TETON EMPLOYER LLC,23,-,23
1575,OLD SALEM FARM SOUTH LLC,23,-,23
1152,WENTWORTH NURSERY INC,23,-,23
5207,LAWRENCE LANDSCAPING & MAINTENANCE,23,-,23
665,EVERGREEN PROPERTY MANAGEMENT INC,23,-,23
4888,CHERRYLAKE INC,23,-,23
7670,FIRST CHOICE LAWN CARE SVCS INC,23,-,23
3297,FRENCHYS LAWN & TREE SERVICE,23,-,23
4387,CDC POOLS INC,23,-,23
4101,VIZCAINO LP,23,-,23
1442,VICTORY RANCH CLUB,23,-,23
8673,EWC & ASSOCIATES INC,23,-,23
3324,LEAVINS SEAFOOD INC,23,-,23
8669,KALY INC,23,-,23
9272,WEBBS SEAFOOD INC,23,-,23
2416,FRANK JOSEPH & SONS INC DBA JOLLY,-,22,22
5882,JEANS LAWN & LANDSCAPES INC,22,-,22
5597,OMNI HOTELS MGT CORP FOR OMNI AMEL,22,-,22
3489,TOWN CENTER LANDSCAPE INC,22,-,22
6127,CHIPS EVERGREEN INC,22,-,22
3869,JOSE F GOMEZ CONSTRUCTION INC,22,-,22
8742,ARTISAN LANDSCAPE GROUP LLC,22,-,22
2997,MUD CITY CRAB HOUSE,22,-,22
8684,KORBY LANDSCAPE LLC,22,-,22
3041,ENVIRONMENTAL SAFETY SERVICES INC,-,22,22
9829,BELMONTES QUALITY CONSTRUCTION LLC,-,22,22
9994,VILLAGE GARDENERS INC,22,-,22
7193,SCHWARTZ BROS LANDSCAPE SOLUTIONS,22,-,22
5808,SOUTH STAR CORP DBA 1 LANDSCAPING,22,-,22
1558,PRIORITY SERVICES LLC,22,-,22
3147,INCHS LANDSCAPING LLC,22,-,22
76,JLA CONSTRUCTION LLC,-,22,22
7633,OAKWOOD RESORT LLC,22,-,22
9858,CT CONCRETE LLC,22,-,22
3345,TABLE ROCK FORESTRY INC,22,-,22
250,CRYSTAL SPRINGS RANCH INC DBA SHOO,22,-,22
1941,LAWRENCE LANDSCAPE INC,22,-,22
2238,SUNRISE PROPERTY MAINTENANCE INC,-,22,22
6425,GOSHEN ENTERPRISES INC,22,-,22
5635,SHUBERT ENTERPRISES INC DBA SCOTT,22,-,22
4240,JAMES RIVER NURSERIES INC,22,-,22
9541,CHINLE DEVELOPMENT INC,22,-,22
9926,SQUIRE CREEK,22,-,22
6779,HORTON HORTICULTURE INC,22,-,22
3696,CONSTRUCTION RENT A FENCE INC,22,-,22
7849,SB LANDSCAPING INC,22,-,22
527,ANDYS SPRINKLER & DRAINAGE DBA AND,22,-,22
699,LANDSCAPE CONSULTANTS & CONTRACTOR,-,22,22
9262,ENVIRONMENTAL EARTHSCAPES INC DBA,22,-,22
8442,SUN N SURF OF YORK INC,21,-,21
202,MOE FREID MARBLE & GRANITE,-,21,21
8423,GREEN HILLS LANDSCAPING & CONSTRUC,21,-,21
1843,3 CREEK RANCH GOLF CLUB,21,-,21
2025,JOSE URIBE CONCRETE CONSTRUCTION,21,-,21
8233,MCCAUGHEY BROTHERS LANDSCAPING INC,21,-,21
1073,THOMAS D THOMAS SHOWS INC,21,-,21
8225,SUPERIOR SCAPE INC,-,21,21
5550,DEVINE CREATIONS LANDSCAPE MGT,21,-,21
3181,COLORADO GOLF CLUB INC,21,-,21
961,Y&L LANDSCAPING,21,-,21
2302,FROG ISLAND SEAFOOD INC,21,-,21
7380,DAWSON LAWN SERVICE INC,21,-,21
2221,TNT LAWN & LANDSCAPE MGMT INC,21,-,21
3942,D/B/A ROSAS VINE COMPANY,21,-,21
3110,LIVING WITH HOPE INC,21,-,21
7689,ARCHWAY LAWN & LANDSCAPING,21,-,21
2809,FREDELL ENTERPRISES INC,21,-,21
966,IBIS GOLF & COUNTRY CLUB INC DBA T,21,-,21
8799,SAILFISH POINT PROPERTY OWNERS & C,21,-,21
9394,BAY COLONY COMMUNITY ASSOC INC,21,-,21
5804,MADDEN BROTHERS INC D/B/A MADDEN S,-,20,20
7816,THE MEADOWMERE RESORT,20,-,20
7827,PATTEN GROUNDS CARE INC,20,-,20
3338,GREEN LANDSCAPE SOLUTIONS LLC,20,-,20
1783,SHAMROCK LAWN & LANDSCAPING LLCDBA,20,-,20
9395,MARK FANELLIS TRAVELING AMUSEMENT,20,-,20
787,GENESIS LAWN AND LANDSCAPE MGT INC,20,-,20
2527,A-PLUS LAWN CARE LLC,20,-,20
3509,PROVINCETOWN INN,20,-,20
3001,STAR JASMINE LANDSCAPE,20,-,20
8671,NORTH AMERICA LAWN & LANDSCAPE LLC,-,20,20
4522,KIARAN MCLAUGHLIN RACING STABLE IN,20,-,20
6153,RATLIFF HARDSCAPE LTD,20,-,20
3099,BILLY STAIN LANDSCAPING INC DBA US,20,-,20
965,FREDS STUDIO TENTS & CANOPIES,-,20,20
6001,LCS COMPANIES DBA LCS FACILITY GR,20,-,20
6275,THE LAWN CHAMPS LLC,20,-,20
4003,PRECISION LANDSCAPING INC,20,-,20
6228,DAGEL STEEL,20,-,20
2147,HBH LANDGROUP INC,20,-,20
2267,PRECISION LAWNSCAPE,20,-,20
3402,SITEWORKS LANDSCAPE DEVELOPMENT LL,-,20,20
9369,HMP PROPERTIES LLC,20,-,20
6669,HAWTHORNE LANDSCAPING INC,20,-,20
6180,ALL SEASONS LAWN INC DBA ALL SEASO,20,-,20
6099,DH STOWE MGT LLC DBA STOWE MTN LOD,-,20,20
9303,CEI ROOFING -TEXAS LLC,-,20,20
4019,MAESTRO SOCCER ACADEMY LLC,20,-,20
9199,COOPER OUTDOOR SERVICES INC,20,-,20
1390,GOLF PRESERVATIONS INC,20,-,20
2943,NDL LLC DBA NATURAL DESIGNS LANDSC,20,-,20
3481,RONNING LANDSCAPING INC,20,-,20
9918,CANDYLAND AMUSEMENTS LLC,20,-,20
3022,GREENSCAPES LANDSCAPING,20,-,20
1951,CLINTAR NEW JERSEY,-,20,20
8378,SIX FLAGS ST LOUIS,-,20,20
6881,YOUNGS LANDSCAPE MANAGEMENT INC,20,-,20
2947,SKYTOP LODGE CORP DBA SKYTOP LODGE,20,-,20
3872,THE LAND CREW INC,20,-,20
6542,COLLIER FOUNDATION SYSTEMS INC,20,-,20
9221,OTTERBACHER ENTERPRISES,20,-,20
662,DIXIELAND CARNIVAL CO LLC,20,-,20
980,LUCERO POOL PLASTER INC,20,-,20
138,SELECT OUTDOOR SVCS LLC,20,-,20
9535,JB ROGERS LANDSCAPE SERVICES INC,20,-,20
3055,TERRYS LANDSCAPING & IRRIGATION IN,-,20,20
7511,FUN BIZ CONCESSIONS INC,20,-,20
1690,TROY BURNE LLC,20,-,20
751,JCCS INC,-,20,20
4034,LANDWISE LLC,20,-,20
8555,MOW MULCH & MORE LLC,20,-,20
4145,LINO S TILE COMPANY,20,-,20
8521,PRO-DESIGN LANDSCAPE,20,-,20
1443,TONKS MASONRY INC,-,20,20
767,IRRECO LLC,20,-,20
5173,BERNARDO ESPINOZA DBA JB STONE,20,-,20
9171,LANDSCAPE CREATIONS OF RHODE ISLAN,20,-,20
406,J F D LANDSCAPES INC,20,-,20
9454,DINUNZIO LANDSCAPING AND SNOW PLOW,20,-,20
6821,BATES AMUSEMENT INC,-,20,20
9422,SUNDOWN GARDENS INC,20,-,20
1486,THE GREEN GANG INC,20,-,20
5014,COLORADO DRAIN SYSTEMS INC,20,-,20
6047,ALL AROUND AMUSEMENT INC,20,-,20
4959,US HOTEL ACS VENTURES LLP DBA AL S,20,-,20
7527,FOOTHILLS LANDSCAPE MAINTENANCE LL,20,-,20
3901,SOUTHERN LAWN & LANDSCAPES LLC,20,-,20
6478,METROPOLITAN CONCRETE CORP DBA MET,20,-,20
9200,LUEHRS IDEAL RIDES INC,20,-,20
7636,WEILAND COIN MACHINES INC DBA L&M,-,20,20
9542,BREEZY HILL NURSERY INC,20,-,20
5294,LANDSCAPE RENOVATIONS INC,20,-,20
6,K & W NURSERY CO INC D/B/A A WALDB,20,-,20
3244,SAUL S CUSTOM DESIGNS,20,-,20
9844,LAWN MASTERS INC,20,-,20
8219,DMP LAWNCARE & LANDSCAPE LLC,20,-,20
2195,S & S NELSON LAND SERVICE INC,20,-,20
6294,SHAMROCK SHOWS AND AMUSEMENTS INC,20,-,20
3317,CUMBERLAND LANDSCAPE GROUP LLC,20,-,20
3285,GREEN ACRES LANDSCAPE AND DESIGN I,-,20,20
6606,THE GROUNDS GUYS OF CENTRAL VIRGIN,20,-,20
5429,COMPLETE CARE LANDSCAPE MAINTENANC,20,-,20
2557,STONEWORKS MASONRY LLC,D,12,20
6579,PARKVIEW NURSERY INC,20,-,20
966,3 SEASONS LANDSCAPE CONTRACTING SE,12,D,H
957,JANOUSEK LOGISTICS,20,-,20
3435,KANGAS CASAS ENTERPRISES LLC DBA T,20,-,20
3309,ALAPINE FORESTRY LLC,20,-,20
3048,PALADINA LANDSCAPING & LAWN CARE I,20,-,20
9389,EMPIRE WALL SYSTEMS INC,20,-,20
3676,DEBOER LANDSCAPES LLC,20,-,20
9761,MGT LANDSCAPING INC,20,-,20
7565,COMMUNITY LANDSCAPE SVCS & DESIGN,20,-,20
9963,JZ LODGING LLC DBA COMFORT INN & S,20,-,20
90,COLE LEINNEWEBER LLC DBA CL CONCRE,20,-,20
8164,PREMIUM SHOWS OF AMERICA LLC,20,-,20
1921,RED MTN RESOURCE LLC,20,-,20
3250,FRONTIER STONE LLC,-,20,20
6264,S 6 LODGING LLC DBA BEST WESTERN G,20,-,20
6801,BAQUE BROS CONCESSIONS INC,20,-,20
1041,MERRIAM GROUP LLC DBA ECONOCUTS,-,20,20
4085,CASA CANO ROOFING & EXTERIORS LLC,-,20,20
4753,AARON CLARK INDUSTRIES LLC,20,-,20
886,VALDEMAR MUNOZ DBA V & M PAINTING,20,-,20
9477,PARAMOUNT LANDSCAPE INC,-,20,20
2999,GROUNDS MGT & LANDSCAPING INC,20,-,20
8411,MOON NURSERIES INC,20,-,20
8266,HERRINGTON HARBOUR INC,20,-,20
7819,PATUNXENT NURSERY,20,-,20
8158,LITTLE RIVER SEAFOOD INC,-,20,20
4533,PETERS LANDSCAPE INC,20,-,20
8179,CHESAPEAKE LAWNSCAPES INC,20,-,20
1472,AMERICAN LAWN BROTHERS INC,20,-,20
6719,UNIQUE LANDSCAPES BY GRIFFIN,20,-,20
3330,BMC EAST LLC,20,-,20
1315,LONG BROTHERS LANDSCAPING INC,20,-,20
1956,ROBERT TRENT JONES GOLF CLUB,20,-,20
8093,FOREVER GREEN INC,20,-,20
6368,GREEN ACRES SERVICES INC,20,-,20
8106,SKB INDUSTRIES INC,20,-,20
1336,MILO ENTERPRISES INC DBA CHAMPION,-,20,20
7262,CLAIR S CLASSIC FOODS INC,20,-,20
8326,NETTERFIELDS POPCORN & LEMONADE IN,-,20,20
1065,GROUNDTEK OF CENTRAL FL LLC,20,-,20
9195,ELEVATED STRUCTURAL DECKS INC RC,20,-,20
6217,ALBYS SEAFOOD INC,20,-,20
5259,HOMECARE BY HPS LLC,20,-,20
6074,CLASSIC GROUNDS MAINTENANCE DBA U,20,-,20
4573,NAIL FORESTRY SERVICES,20,-,20
8611,DOOLAN AMUSEMENT COMPANY,-,20,20
3035,FIRST CLASS ATTRACTIONS INC,20,-,20
4130,TEXAS GULF TRAWLING CO INC,-,20,20
5751,W & W DOCK,-,20,20
9030,SLATER PAINTING COMPANY INC,-,20,20
8148,ALAMO AMUSEMENTS INC,20,-,20
4025,CUEVAS TRAWLERS INC,-,20,20
359,AGUADO STONE INC,20,-,20
5719,THE ALG CORP,20,-,20
558,C AND C MOWING CONTRACTORS INC,-,20,20
1076,DEMAS ENTERPRISES INC,-,20,20
6013,JUNIOR CONSTRUCTION COMPANY INC,20,-,20
9979,BSL OZARKS LLC DBA US LAWNS OF OZA,20,-,20
7619,SABELL S CIVIL & LANDSCAPE LLC,20,-,20
9055,ASPECTS & MORE MODULAR SVCS LLC,20,-,20
69,GARDENERS CHOICE CONCEPTS,-,20,20
7974,COUNTRY CLUB OF THE ROCKIES INC,20,-,20
213,MOUNTAIN TOP VENTURES DBA SHC NURS,20,-,20
2987,TCC CONTRACTORS INC DBA TCC ROOFIN,20,-,20
3810,TREE OF LIFE LANDSCAPING INC,20,-,20
7800,VIC S LANDSCAPING,20,-,20
9691,CANYON STATE DRYWALL INC,20,-,20
981,IT S MAGIC INC,20,-,20
461,DREAM WITH COLORS INC,20,-,20
9326,ODYSSEY FOODS LLC,20,-,20
8024,RUDOLFO BROS MASONRY LLC,20,-,20
8219,STAR STONE QUARRIES INC I,20,-,20
4990,STONE OAK LAND DESIGN LLC,20,-,20
554,EDDIE WOODS STABLES,20,-,20
9548,DECORIQ LLC,20,-,20
264,CAROLINA CONDUIT SYSTEMS INC,20,-,20
186,L & B REFORESTATION INC,20,-,20
6287,BOYDS SEAFOOD INC,20,-,20
1710,ANNAS SEAFOOD INC,20,-,20
8000,SANTOS RODRIGUEZ,20,-,20
8343,JESUS ZARRAGA,20,-,20
4036,BIG C S ENTERPRISES LLC,-,19,19
5636,CROWNE POINTE INC DBA CROWNE POINT,19,-,19
3321,LAVENDER LANDSCAPING INC,19,-,19
9758,CURTIS LANDSCAPING INC,19,-,19
3119,YANKEE CLIPPER GARDEN CENTRE,-,19,19
6923,GEISSLER TREE FARM INC,19,-,19
9624,SOLE EAST LLC,19,-,19
800,TOWN SCAPES,19,-,19
3585,SALAZAR CONTRACTING LLC,19,-,19
5413,BORST LANDSCAPE & DESIGN INC,19,-,19
6314,SHORE LODGE WHITETAIL LLC M,19,-,19
5846,GOLDEN WEST ONCESSIONS INC,19,-,19
4406,GROUNDS MGMT INC,19,-,19
6508,FRATE LANDSCAPING INC,19,-,19
4658,THE PATTIE GROUP INC,19,-,19
7290,C R HORTICULTURE & IRRIGATION SOLU,19,-,19
8371,FOUR STREAMS LLC,19,-,19
9170,MARUCCI BAT COMPANY,19,-,19
1544,HAROLD G WORLEY DBA OCEAN DR BEACH,19,-,19
8519,SODFATHER LANDSCAPING,19,-,19
4667,HESS DEV CORP DBA HESS LAWNS INC,19,-,19
6734,WAVERTREE STABLES,19,-,19
396,CARDINAL LAWN & LANDSCAPE INC,19,-,19
7053,COFFEY & ASSOCIATES INC,-,19,19
9871,GREEN VALLEY TURF CO,19,-,19
1218,TOP NOTCH LANDSCAPING & SUPPLY LLC,19,-,19
519,EXTREME FOOD & BEVERAGE INC DBA AN,-,19,19
5513,WESTON LANDSCAPE & DESIGN INC,18,-,18
2514,JOHN C KIMMEL RACING STABLE,18,-,18
50,KANE LANDSCAPES INC,18,-,18
5342,LEATHERSTOCKING CORP,18,-,18
6014,ARMINGTON NURSERY DBA WAYSIDE CONT,18,-,18
2781,KRAFTSOUTH INC DBA LAWNSOUTH,18,-,18
243,PRELUDE HOMES INC,18,-,18
2443,WYNDHAM VACATION OWNERSHIP DBA THE,18,-,18
8874,H & H TILE & PLASTER OF AUSTIN LTD,-,18,18
1529,MCCALLISTER S LANDSCAPING & SUPPLY,18,-,18
7097,ELLSWORTH CONSTRUCTION COMPANY,-,18,18
6439,LBL GUNITE OF TULSA LP,18,-,18
2992,THE GROUNDSKEEPER INC,18,-,18
5810,MEM LANDSCAPING LLC,-,18,18
3904,DENVER 17TH ST MGMT CO DBA THE BRO,18,-,18
2092,LAWNMASTERS OF SHREVEPORT LLC,18,-,18
6869,TRI-COUNTY SPRINKLERS LLC,18,-,18
4588,PENNSYLVANIA LANDSCAPE MANAGEMENT,18,-,18
5597,SOUTHERN OAK SVCS LLC DBA SCOTT &,18,-,18
7245,CRAMARK INC DBA THE CHICKEN OR THE,18,-,18
9696,G & G LANDSCAPING CONSTRUCTION INC,18,-,18
2259,GOULDS LAWN & LANDSCAPE INC,18,-,18
8710,PLANTSCAPE INC,18,-,18
8954,MARTINEZ LANDSCAPING,18,-,18
8731,MULTI LANDSCAPE SVCS LLC DBA EL IR,-,18,18
9631,TONYS CONCRETE WORK LLC,18,-,18
7305,HAGEN LAWN & LANDSCAPE LLC,18,-,18
1381,GRASS RANGERS LLC,18,-,18
9912,ETHERIDGE ROOFING INC,-,18,18
1104,NEW YORK PREMIER SOCCER LLC DBA GP,18,-,18
2725,AB CONSTRUCTION,18,-,18
8360,WILD RIDGE LAWN & LANDSCAPE LLC,-,18,18
5133,M J DESIGN ASSO INC,18,-,18
3658,SALSBERY BROTHERS LANDSCAPING INC,18,-,18
3618,TURF DYNAMICS INC,-,18,18
4453,CREATIVE BRICK PAVING & LANDSCAPIN,18,-,18
7673,BIG CEDAR LLC DBA BIG CEDAR LODGE,-,18,18
9630,METRO LAWN SPRINKLER,18,-,18
9687,JM LAWNCARE & SPRINKLER,18,-,18
8200,TECTA AMERICA DAKOTAS,18,-,18
246,JAVIER MARTINEZ LAWN CARE,-,18,18
8677,PAN CONCESSIONS LLC,18,-,18
5301,LANDSCAPE GARDEN CENTERS,18,-,18
684,EASTERN HIGHWAY MAINTENANCE LLC,-,18,18
9217,BARRIENTOS CONCRETE LLC,18,-,18
5511,DOCTOR S INC DBA DOCTOR S LAWN & L,18,-,18
5928,ECOLOGICAL RESTORATION & MGT INC D,18,-,18
4046,BELFAIR PROPERTY OWNERS ASSOC,18,-,18
5493,TIDEWATER LANDSCAPE MANAGEMENT INC,18,-,18
8286,NMP GOLF CONSTRUCTION CORP,D,10,18
8577,PARAGON LANDSCAPE CONSTRUCTION INC,18,-,18
9342,D H R CONSTRUCTION INC,18,-,18
1510,STEWART LAWNCARE & LANDSCAPE,18,-,18
3119,TELLURIDE GARDENS & MAINTENANCE,18,-,18
806,BODDEN CADDELL INC,-,18,18
8473,PROSCAPE LANDSCAPING INC,18,-,18
7852,OLE LANDSCAPE SERVICE,18,-,18
2810,HQ STONE PRODUCTS,18,-,18
6402,JDS MAKIT GREEN INC,18,-,18
3147,YARDMASTERS INC,18,-,18
2542,LAWN CONCIERGE LLC,18,-,18
1263,OBERSON S NURSERY & LANDSCAPES INC,18,-,18
8509,ALL SEASONS LANDSCAPING INC,18,-,18
2729,DEVIL S THUMB RANCH OPERATING CO I,18,-,18
5411,FLYING HORSE COUNTRY CLUB LLC,18,-,18
6720,BLOOM FLORALSCAPES LLC,18,-,18
6139,AALC INC,18,-,18
603,NAPIERALSKI FORESTRY ENTERPRISE IN,18,-,18
481,VANDERBILT COMMUNITY ASSOC INC DBA,18,-,18
6454,LOST TREE CLUB INC,18,-,18
1359,HARRIS SEAFOOD COMPANY LLC,18,-,18
5523,PURCELLS SEAFOOD INC,18,-,18
4302,SPI MGT LLC D/B/A SPRUCE POINT INN,-,17,17
3651,B DEMICHELE INC,-,17,17
6391,MCNAMARA BROS INC,17,-,17
7998,YARDAPES INC,17,-,17
7425,BOTANIC NURSERY INC,17,-,17
101,DIRT DYNAMICS,17,-,17
9042,GREAT AMERICAN VENTURES INC DBA SE,17,-,17
6478,TOCCO & MANNINO LANDSCAPING INC,17,-,17
9202,MICNOR CORP,17,-,17
8209,VALDES LAWNCARE & SNOW REMOVAL LLC,17,-,17
7142,CONTESSA RACING INC,17,-,17
6815,MONTERREY CONCRETE LLC,17,-,17
101,AMERICAN BANNER AMUSEMENTS INC,-,17,17
3787,MOTT THOROUGHBRED STABLES INC,17,-,17
7644,STACHOWSKI FARM LLC,17,-,17
3827,RUNYON & SONS ROOFING INC,17,-,17
3734,ROST LANDSCAPING AND DESIGN INC,17,-,17
2028,CENTRAL LAWN & LANDSCAPE LLC,17,-,17
8505,CORRIENTE INVESTMENTS LLC DBA NEAL,17,-,17
8416,MOWPROS LLC,17,-,17
4612,FRIO COUNTRY RESORT LLC,17,-,17
258,SUSTAINABLE LANDSCAPES COLORADO LL,17,-,17
9564,A DAHL TRUCKING,17,-,17
8618,TEXAS YARD PRO INC,17,-,17
62,PORTER LANDSCAPING INC,17,-,17
8284,THINKGREEN LLC,17,-,17
6906,MASTERCORP INC,-,17,17
9106,I CON CONSTRUCTION INC,17,-,17
5090,TOWN PUMP INC DBA BELGRADE HOLIDAY,17,-,17
4641,REDMOND GROUP INC DBA BCW,17,-,17
2820,YOUNES HOSPITALITY,15,D,H
2020,RUI INC D/B/A THE VILLAGE GARDENER,17,-,17
8011,PINEHURST COUNTRY CLUB L,17,-,17
9399,LOS VERDES III,17,-,17
3528,ERBERT LAWNS INC,17,-,17
9417,GUSTAVOS MEXICAN GRILL LLC,17,-,17
142,RALPH IASIELLO LAWNCARE LLC,17,-,17
5109,B & G COMPLETE LANDSCAPING & FENCE,17,-,17
1809,SHAMROCK LANDSCAPING LLC,-,17,17
6039,YANKEE CANAL SEAFOOD INC,-,17,17
7821,FIDDLERS CREEK FOUNDATION INC,17,-,17
66,WOODSTOCK RESORT CORP DBA WOODSTOC,16,-,16
9282,OCEAN HOUSE RESTAURANT,16,-,16
5680,SOUTHERN TURF LAWN & LANDSCAPE LLC,16,-,16
3005,SOUTHAMPTON GOLF CLUB,16,-,16
8531,FUSCHETTO AND SON INC,16,-,16
1654,JAMES C GRIMES LAND DESIGN INC,16,-,16
2742,CFE INC,16,-,16
3699,PROSCAPES OF DUBLIN,16,-,16
