,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,," 170,039 "," 104,723 "," 8,713 "," 393,474 "," 89,754 "," 29,661 "," 4,917 "," 670,262 "," 259,793 "," 134,384 "," 13,630 "," 1,063,736 ",
,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,
New Mexico,,,,,,,,,,,,,,,
,Albuquerque ,ABQ, 265 , 194 , D , 453 , D , D , - , D , 266 , 198 , D , 458 ,
New York,,,,,,,,,,,,,,,
,Albany ,ALB, 129 , 125 , D , 364 , - , D , - , 38 , 129 , 129 , D , 402 ,
,Buffalo ,BUF, 233 , 345 , 65 , 618 , - , 19 , D , 57 , 233 , 364 , 71 , 675 ,
,Long Island,LNY," 1,799 "," 1,163 ", 33 ," 5,715 ", D , 92 , D , 137 ," 1,801 "," 1,255 ", 38 ," 5,852 ",
,New York ,NYC," 4,813 "," 3,363 ", 347 ," 17,807 ", 12 , 119 , 16 , 747 ," 4,825 "," 3,482 ", 363 ," 18,554 ",
,Queens,QNS," 1,722 ", 935 , 90 ," 5,792 ", D , 18 , 10 , 186 ," 1,725 ", 953 , 100 ," 5,978 ",
North Carolina,,,,,,,,,,,,,,,
,Charlotte ,CLT, 562 , 442 , 36 ," 1,504 ", D , 14 , D , D , 565 , 456 , 37 ," 1,513 ",
,Raleigh,RAL, 580 , 408 , 21 ," 1,228 ", - , D , D , D , 580 , 413 , 22 ," 1,230 ",
Ohio,,,,,,,,,,,,,,,
,Cincinnati ,CIN, 191 , 161 , 13 , 425 , D , D , D , D , 192 , 164 , 14 , 428 ,
,Cleveland ,CLE, 238 , 173 , 23 , 519 , - , D , D , D , 238 , 174 , 29 , 526 ,
,Columbus,CLM, 293 , 148 , 37 , 562 , - , D , D , D , 293 , 149 , 39 , 563 ,
Oklahoma,,,,,,,,,,,,,,,
,Oklahoma City ,OKC, 408 , 412 , D , 982 , D , 20 , D , D , 409 , 432 , 11 , 986 ,
Oregon,,,,,,,,,,,,,,,
,Portland ,POO, 580 , 266 , 16 ," 1,177 ", D , D , D , D , 581 , 275 , 18 ," 1,178 ",
Pennsylvania,,,,,,,,,,,,,,,
,Philadelphia,PHI," 1,416 "," 1,728 ", 91 ," 3,956 ", D , 81 , D , 107 ," 1,420 "," 1,809 ", 93 ," 4,063 ",
,Pittsburgh ,PIT, 253 , 160 , 15 , 568 , - , D , - , D , 253 , 164 , 15 , 572 ,
Rhode Island,,,,,,,,,,,,,,,
,Providence ,PRO, 268 , 346 , 30 , 598 , - , D , - , D , 268 , 347 , 30 , 606 ,
South Carolina,,,,,,,,,,,,,,,
,Charleston ,CHL, 238 , 178 , 17 , 667 , - , D , D , D , 238 , 179 , 20 , 676 ,
,Greer,GRR, 127 , 94 , 11 , 188 , - , D , D , D , 127 , 95 , 13 , 190 ,
Tennessee,,,,,,,,,,,,,,,
,Memphis ,MEM, 615 , 341 , 33 ," 1,505 ", D , 22 , D , 30 , 616 , 363 , 34 ," 1,535 ",
Texas,,,,,,,,,,,,,,,
