country,preference_category,snapshot_date,priority_year,pending_at_snapshot,depletion_per_day,months_to_clear,projected_clear_date,actual_clear_date,error_months,abs_error_months
India,EB2,2025-11-03,2013,1441.0,-9.72,4.9,2026-03-31,2025-12-01,3.9,3.9
India,EB2,2025-12-03,2005,25.0,0.0,,,2026-01-01,,
India,EB2,2025-12-03,2006,40.0,0.08,,,2026-01-01,,
India,EB2,2025-12-03,2007,35.0,0.0,,,2026-01-01,,
India,EB2,2025-12-03,2008,30.0,0.0,,,2026-01-01,,
India,EB2,2025-12-03,2009,25.0,-0.08,10.2,2026-10-09,2026-01-01,9.2,9.2
India,EB2,2025-12-03,2010,74.0,-0.02,150.7,2038-06-26,2026-01-01,149.8,149.8
India,EB2,2025-12-03,2011,151.0,0.13,,,2026-01-01,,
India,EB2,2025-12-03,2012,448.0,-1.69,8.7,2026-08-24,2026-01-01,7.7,7.7
India,EB2,2025-12-03,2013,1889.0,2.21,,,2026-01-01,,
India,EB2,2026-01-02,2005,25.0,0.0,,,2026-02-01,,
India,EB2,2026-01-02,2006,40.0,0.08,,,2026-02-01,,
India,EB2,2026-01-02,2007,40.0,0.08,,,2026-02-01,,
India,EB2,2026-01-02,2008,30.0,0.0,,,2026-02-01,,
India,EB2,2026-01-02,2009,30.0,0.0,,,2026-02-01,,
India,EB2,2026-01-02,2010,74.0,-0.15,16.2,2027-05-10,2026-02-01,15.2,15.2
India,EB2,2026-01-02,2011,143.0,0.12,,,2026-02-01,,
India,EB2,2026-01-02,2012,420.0,-0.73,18.8,2027-07-28,2026-02-01,17.8,17.8
India,EB2,2026-01-02,2013,2988.0,25.78,,,2026-02-01,,
India,EB2,2026-02-03,2005,25.0,0.0,,,2026-03-01,,
India,EB2,2026-02-03,2006,40.0,0.0,,,2026-03-01,,
India,EB2,2026-02-03,2007,40.0,0.08,,,2026-03-01,,
India,EB2,2026-02-03,2008,30.0,0.0,,,2026-03-01,,
India,EB2,2026-02-03,2009,30.0,0.08,,,2026-03-01,,
India,EB2,2026-02-03,2010,70.0,-0.06,35.6,2029-01-23,2026-03-01,34.8,34.8
India,EB2,2026-02-03,2011,141.0,-0.16,28.7,2028-06-26,2026-03-01,27.9,27.9
India,EB2,2026-02-03,2012,387.0,-0.98,12.9,2027-03-03,2026-03-01,12.1,12.1
India,EB2,2026-02-03,2013,2511.0,10.03,,,2026-03-01,,
India,EB2,2026-03-03,2005,25.0,0.0,,,2026-04-01,,
India,EB2,2026-03-03,2006,40.0,0.0,,,2026-04-01,,
India,EB2,2026-03-03,2007,40.0,0.0,,,2026-04-01,,
India,EB2,2026-03-03,2008,30.0,0.0,,,2026-04-01,,
India,EB2,2026-03-03,2009,35.0,0.08,,,2026-04-01,,
India,EB2,2026-03-03,2010,70.0,-0.07,34.5,2029-01-16,2026-04-01,33.5,33.5
India,EB2,2026-03-03,2011,129.0,-0.23,18.2,2027-09-06,2026-04-01,17.2,17.2
India,EB2,2026-03-03,2012,344.0,-1.27,8.9,2026-11-29,2026-04-01,8.0,8.0
India,EB2,2026-03-03,2013,3768.0,13.0,,,2026-04-01,,
India,EB2,2026-03-03,2014,0.0,0.0,,,2026-04-01,,
India,EB2,2026-04-03,2005,25.0,0.0,,,2026-05-01,,
India,EB2,2026-04-03,2006,35.0,-0.08,13.6,2027-05-21,2026-05-01,12.6,12.6
India,EB2,2026-04-03,2007,40.0,0.0,,,2026-05-01,,
India,EB2,2026-04-03,2008,30.0,0.0,,,2026-05-01,,
India,EB2,2026-04-03,2009,30.0,0.0,,,2026-05-01,,
India,EB2,2026-04-03,2010,64.0,-0.1,20.7,2027-12-23,2026-05-01,19.7,19.7
India,EB2,2026-04-03,2011,104.0,-0.63,5.4,2026-09-15,2026-05-01,4.5,4.5
India,EB2,2026-04-03,2012,321.0,-1.12,9.4,2027-01-14,2026-05-01,8.5,8.5
India,EB2,2026-04-03,2013,7670.0,87.44,,,2026-05-01,,
India,EB2,2026-04-03,2014,8467.0,143.51,,,2026-05-01,,
