                                                                                                                                                                                                                                                          ,,,,,,,,,,
"Source: USCIS, data as of October 5, 2018. Notes:  All data are based on petitions received during the fiscal year for both initial employment and continuing employment. Initial employment includes both cap-subject and cap-exempt petitions. Percentages may not add due to rounding.  ",,,,,,,,,,
,Female,,Male,,Missing/Other,,Grand Total,,,
Country of Birth,Number,Percent of Total,Number,Percent of Total,Number,Percent of Total,Number,Percent,,
LIBERIA,5,45.5%,6,54.5%,,,11,0.0%,,
MALAWI,3,27.3%,8,72.7%,,,11,0.0%,,
SAINT VINCENT AND THE GRENADINES,8,72.7%,3,27.3%,,,11,0.0%,,
SIERRA LEONE,3,27.3%,8,72.7%,,,11,0.0%,,
MADAGASCAR,5,50.0%,5,50.0%,,,10,0.0%,,
MALI,2,20.0%,8,80.0%,,,10,0.0%,,
SAINT KITTS AND NEVIS,5,50.0%,5,50.0%,,,10,0.0%,,
ANGOLA,4,44.4%,5,55.6%,,,9,0.0%,,
BURUNDI,3,33.3%,6,66.7%,,,9,0.0%,,
GABON,5,55.6%,4,44.4%,,,9,0.0%,,
MOZAMBIQUE,5,55.6%,4,44.4%,,,9,0.0%,,
NAMIBIA,6,66.7%,3,33.3%,,,9,0.0%,,
BHUTAN,2,25.0%,6,75.0%,,,8,0.0%,,
CUBA,2,25.0%,6,75.0%,,,8,0.0%,,
GUINEA,3,37.5%,5,62.5%,,,8,0.0%,,
LUXEMBOURG,6,75.0%,2,25.0%,,,8,0.0%,,
MAURITANIA,2,25.0%,6,75.0%,,,8,0.0%,,
FIJI,4,57.1%,3,42.9%,,,7,0.0%,,
SWAZILAND,4,57.1%,3,42.9%,,,7,0.0%,,
BRUNEI,1,16.7%,5,83.3%,,,6,0.0%,,
"CONGO, DEMOCRATIC REPUBLIC",,,6,100.0%,,,6,0.0%,,
ERITREA,2,33.3%,4,66.7%,,,6,0.0%,,
CABO VERDE,4,80.0%,1,20.0%,,,5,0.0%,,
MALTA,1,20.0%,4,80.0%,,,5,0.0%,,
FRENCH POLYNESIA,2,50.0%,2,50.0%,,,4,0.0%,,
LAOS,2,50.0%,2,50.0%,,,4,0.0%,,
MALDIVES,,,4,100.0%,,,4,0.0%,,
CURACAO,3,100.0%,,,,,3,0.0%,,
JERSEY,1,33.3%,2,66.7%,,,3,0.0%,,
PAPUA NEW GUINEA,1,33.3%,2,66.7%,,,3,0.0%,,
SURINAME,,,3,100.0%,,,3,0.0%,,
ANDAMAN ISLANDS,1,50.0%,1,50.0%,,,2,0.0%,,
ARUBA,,,2,100.0%,,,2,0.0%,,
CAYMAN ISLANDS,2,100.0%,,0.0%,,,2,0.0%,,
CHAD,1,50.0%,1,50.0%,,,2,0.0%,,
FRENCH GUIANA,2,100.0%,,,,,2,0.0%,,
ISLE OF MAN,1,50.0%,1,50.0%,,,2,0.0%,,
JAVA,1,50.0%,1,50.0%,,,2,0.0%,,
LESOTHO,1,50.0%,1,50.0%,,,2,0.0%,,
NIGER,,,2,100.0%,,,2,0.0%,,
SAINT MAARTEN,1,50.0%,1,50.0%,,,2,0.0%,,
SOMALIA,1,50.0%,1,50.0%,,,2,0.0%,,
ANDORRA,,,1,100.0%,,,1,0.0%,,
AZORES,,,1,100.0%,,,1,0.0%,,
CENTRAL AFRICAN REPUBLIC,,,1,100.0%,,,1,0.0%,,
COMOROS,,,1,100.0%,,,1,0.0%,,
FAROE ISLANDS,1,100.0%,,,,,1,0.0%,,
GUADELOUPE,1,100.0%,,,,,1,0.0%,,
GUINEA-BISSAU,,,1,100.0%,,,1,0.0%,,
HOLLAND,1,100.0%,,,,,1,0.0%,,
JOHNSTON ATOLL,,,1,100.0%,,,1,0.0%,,
"KOREA, NORTH",,,1,100.0%,,,1,0.0%,,
LIECHTENSTEIN,,,1,100.0%,,,1,0.0%,,
MONACO,,,1,100.0%,,,1,0.0%,,
NETHERLANDS ANTILLES (FORMER),,,1,100.0%,,,1,0.0%,,
NEW CALEDONIA,,,1,100.0%,,,1,0.0%,,
PALAU,1,100.0%,,,,,1,0.0%,,
REUNION,1,100.0%,,,,,1,0.0%,,
SOLOMON ISLANDS,,,1,100.0%,,,1,0.0%,,
TURKS AND CAICOS ISLANDS,1,100.0%,,,,,1,0.0%,,
OTHER/UNKNOWN/MISSING,480,28.0%,"1,235",72.0%,,,"1,715",0.4%,,
