,,,,,,,,,,,,,,,,,,,
,Petitioner Location,,,Petitions by State and Company,,,,,,,,,,,,,,,
,,,,Petitions by U.S. Employer and U.S. Agent1,,,,,,,,,,,,,,,
,,,,Petitions Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,
,Total,,,"1,268","1,580",21,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Petitions by State6,,,,,,,,,,,,,,,,,,
,,,TED BROUSSARD FARMS INC, -   , 1 , -   , -   ,,,,,,,,,,,,
,,,TED BROUSSARD FARMS INC AND SQUARE, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,TERRY & JOE BAKER FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,THOMAS BECNEL CITRUS FARMS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,TOPASHAW FARMS PARTNERSHIP, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,TYCOR FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,WKI OUTSOURCING SOLUTIONS LLC, 1 , 2 , -   , -   ,,,,,,,,,,,,
,,,YESENIA MERINO, -   , -   , 2 , -   ,,,,,,,,,,,,
,,,(EMPLOYER IS NOT A COMPANY OR CORPORATION), 4 , 1 , -   , -   ,,,,,,,,,,,,
,Hawaii,,, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,KONA CONTROLS INC DBA MAKAPUEO FAR, 1 , 1 , -   , -   ,,,,,,,,,,,,
,Idaho,,, 23 , 24 , -   , -   ,,,,,,,,,,,,
,,,BLACK MESA FARMS LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,BLAINE LARSEN FARMS INC, 5 , 5 , -   , -   ,,,,,,,,,,,,
,,,CANYON CREEK FARMS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,CHALLIS CREEK CATTLE CO LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,COOKSEY PRODUCE LLC, 2 , 2 , -   , -   ,,,,,,,,,,,,
,,,DBA FAIRCHILD SHEARING, 2 , 4 , -   , -   ,,,,,,,,,,,,
,,,DESERT RIDGE FARMS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,EAMES ACRES INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,GRANT 4 D FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,HOWARD TAYLOR & SONS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,KIRK JACOBS FARMS, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,KIRK S EGBERT RANCHES INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,PARK RANCH LLC, 1 , -   , -   , -   ,,,,,,,,,,,,
,,,POTEET FARMS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,R & L GREENCHOP INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,ROBISON FARMS INC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,,,RT KANDLER LLC, 1 , 1 , -   , -   ,,,,,,,,,,,,
,Illinois,,, 2 , 2 , 2 , -   ,,,,,,,,,,,,
,,,IFC KITCHEN AND FARMING INC, 1 , -   , 2 , -   ,,,,,,,,,,,,
,,,MCCLURE CUSTOM PUMPING LLC, 1 , 2 , -   , -   ,,,,,,,,,,,,
,Indiana,,, 2 , -   , -   , -   ,,,,,,,,,,,,
,,,CLARK NICKLES INC, 1 , -   , -   , -   ,,,,,,,,,,,,
,,,ZIMMERMAN PROPERTIES I LLC, 1 , -   , -   , -   ,,,,,,,,,,,,
,Iowa,,, 34 , 52 , -   , -   ,,,,,,,,,,,,
,,,ALEWELT CONCRETE INC, 24 , 35 , -   , -   ,,,,,,,,,,,,
