,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2013 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 1,723,648 "," 1,285,376 "," 100,649 "," 2,844,803 "," 1,495,598 "," 1,563,914 "," 114,616 "," 2,764,101 "," 1,919,703 "," 1,519,803 "," 119,929 "," 3,433,216 "," 1,759,072 "," 1,810,250 "," 133,830 "," 2,977,138 "," 6,898,021 "," 6,179,343 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legalization 6,Legalization/ SAW, 64 , 79 , 113 , 575 , 66 , 139 , 147 , 533 , 38 , 96 , 141 , 480 , 42 , 71 , 130 , 436 , 210 , 385 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-730,Refugee/Asylee Relative Petitions," 4,337 "," 3,391 ", 547 ," 7,973 "," 4,543 "," 5,225 ", 652 ," 7,016 "," 5,137 "," 4,091 ", 853 ," 7,714 "," 4,441 "," 4,264 ", 763 ," 7,445 "," 18,458 "," 16,971 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-817,Family Unity Applications, 572 , 403 , 30 , 608 , 732 , 471 , 30 , 884 , 594 , 620 , 22 , 838 , 480 , 608 , 20 , 690 ," 2,378 "," 2,102 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-821,Temporary Protected Status," 46,834 "," 12,633 "," 1,063 "," 42,770 "," 7,299 "," 30,788 "," 1,451 "," 17,128 "," 121,303 "," 31,042 "," 2,608 "," 105,284 "," 152,586 "," 212,959 "," 2,276 "," 51,162 "," 328,022 "," 287,422 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-821D,Deferred Action for Childhood Arrivals," 232,985 "," 123,600 ", 100 ," 252,781 "," 90,513 "," 219,043 "," 1,335 "," 199,700 "," 65,684 "," 132,815 "," 4,244 "," 454,449 "," 43,125 "," 73,835 "," 6,095 "," 92,417 "," 432,307 "," 549,293 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-867,Credible Fear Referral," 5,552 ", -   , -   ," 1,464 "," 6,502 ", -   , -   ," 1,311 "," 11,578 ", -   , -   ," 4,944 "," 12,403 ", -   , -   ," 3,071 "," 36,035 ", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-881,NACARA 203 Applications, 306 , 158 , 15 , 453 , 264 , 138 , 22 , 583 , 302 , 83 , 21 ," 2,132 ", 236 , 195 , 21 ," 2,571 "," 1,108 ", 574 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-889,Reasonable Fear," 1,465 ", -   , -   ," 1,121 "," 1,680 ", -   , -   ," 1,215 "," 1,898 ", -   , -   ," 3,778 "," 2,692 ", -   , -   ," 5,269 "," 7,735 ", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-914,T Nonimmigrant Status Applications, 444 , 536 , 49 ," 1,011 ", 428 , 430 , 40 , 975 , 496 , 446 , 71 , 968 , 452 , 411 , 35 , 967 ," 1,820 "," 1,823 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-918,U Nonimmigrant Status Applications," 11,221 "," 5,855 ", 799 ," 41,165 "," 11,173 "," 2,555 ", 858 ," 48,620 "," 10,987 "," 5,874 ", 751 ," 52,930 "," 10,314 "," 3,944 ", 861 ," 58,496 "," 43,695 "," 18,228 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
